2021-11-05 15:03:09,183 - INFO - python main.py algo -dl d1 -ll 2 3 -ol I W RI RW -ml brute -gl 20 -bl 1 2 3
2021-11-05 15:03:09,183 - INFO - ====================_2.0
2021-11-05 15:03:09,210 - INFO - load:../zdata/residence_217_spl.pkl
2021-11-05 15:03:09,211 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-11-05 15:03:09,232 - INFO - ============================== d1_2_A_brute  b=1
2021-11-05 15:03:09,233 - INFO - compute (0.0, 0.0)
2021-11-05 15:03:09,237 - INFO - compute (0.0, 0.05)
2021-11-05 15:03:09,240 - INFO - compute (0.0, 0.1)
2021-11-05 15:03:09,245 - INFO - compute (0.0, 0.15)
2021-11-05 15:03:09,260 - INFO - compute (0.0, 0.2)
2021-11-05 15:03:09,277 - INFO - compute (0.0, 0.25)
2021-11-05 15:03:09,296 - INFO - compute (0.0, 0.3)
2021-11-05 15:03:09,334 - INFO - compute (0.0, 0.35)
2021-11-05 15:03:09,387 - INFO - compute (0.0, 0.4)
2021-11-05 15:03:09,461 - INFO - compute (0.0, 0.45)
2021-11-05 15:03:09,551 - INFO - compute (0.0, 0.5)
2021-11-05 15:03:09,661 - INFO - compute (0.0, 0.55)
2021-11-05 15:03:09,784 - INFO - compute (0.0, 0.6)
2021-11-05 15:03:09,933 - INFO - compute (0.0, 0.65)
2021-11-05 15:03:10,107 - INFO - compute (0.0, 0.7)
2021-11-05 15:03:10,295 - INFO - compute (0.0, 0.75)
2021-11-05 15:03:10,492 - INFO - compute (0.0, 0.8)
2021-11-05 15:03:10,691 - INFO - compute (0.0, 0.85)
2021-11-05 15:03:10,885 - INFO - compute (0.0, 0.9)
2021-11-05 15:03:11,080 - INFO - compute (0.0, 0.95)
2021-11-05 15:03:11,273 - INFO - compute (0.0, 1.0)
2021-11-05 15:03:11,433 - INFO - compute (0.05, 0.0)
2021-11-05 15:03:11,436 - INFO - compute (0.05, 0.05)
2021-11-05 15:03:11,438 - INFO - compute (0.05, 0.1)
2021-11-05 15:03:11,440 - INFO - compute (0.05, 0.15)
2021-11-05 15:03:11,446 - INFO - compute (0.05, 0.2)
2021-11-05 15:03:11,455 - INFO - compute (0.05, 0.25)
2021-11-05 15:03:11,466 - INFO - compute (0.05, 0.3)
