2021-09-17 00:55:07,010 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='2', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170055')
2021-09-17 00:55:07,026 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 00:55:08,109 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 00:55:08,894 - INFO - load: budget=2, scheme=(0.0,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,894 - INFO - load: budget=2, scheme=(0.0,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,894 - INFO - load: budget=2, scheme=(0.0,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,894 - INFO - load: budget=2, scheme=(0.0,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,894 - INFO - load: budget=2, scheme=(0.0,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,894 - INFO - load: budget=2, scheme=(0.0,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,894 - INFO - load: budget=2, scheme=(0.1,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.1,0.020000000000000004), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.1,0.04000000000000001), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.1,0.06000000000000001), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.1,0.08000000000000002), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.1,0.1), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.2,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.2,0.04000000000000001), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.2,0.08000000000000002), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.2,0.12000000000000002), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.2,0.16000000000000003), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,895 - INFO - load: budget=2, scheme=(0.2,0.2), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.30000000000000004,0.0), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.30000000000000004,0.06000000000000001), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.30000000000000004,0.12000000000000002), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.30000000000000004,0.18000000000000005), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.30000000000000004,0.24000000000000005), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.30000000000000004,0.30000000000000004), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.4,0.0), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.4,0.08000000000000002), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.4,0.16000000000000003), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.4,0.24000000000000005), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:55:08,896 - INFO - load: budget=2, scheme=(0.4,0.32000000000000006), tilderR(49) tilderS(0),result=(set(), 0) 
