2021-09-17 01:36:21,097 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='2', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170136')
2021-09-17 01:36:21,113 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 01:36:22,141 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 01:36:22,518 - INFO - information of the network: 
 node, degree, visibility, valuation, cost 
0, 15, 83, 0.5647750229568411, 0.4352249770431589 
1, 23, 103, 0.6595408631772268, 0.3404591368227732 
2, 21, 98, 0.6351606978879707, 0.3648393021120293 
3, 11, 68, 0.4985215794306703, 0.5014784205693297 
4, 10, 57, 0.4525619834710744, 0.5474380165289257 
5, 9, 46, 0.40882460973370066, 0.5911753902662993 
6, 15, 78, 0.5422314049586776, 0.4577685950413224 
7, 16, 86, 0.5785215794306704, 0.4214784205693296 
8, 10, 53, 0.43640036730945825, 0.5635996326905417 
9, 17, 97, 0.6303397612488522, 0.36966023875114784 
10, 8, 65, 0.4857667584940313, 0.5142332415059687 
11, 12, 62, 0.4731772268135904, 0.5268227731864096 
12, 11, 73, 0.5201469237832874, 0.4798530762167126 
13, 19, 104, 0.6644719926538109, 0.33552800734618915 
14, 8, 66, 0.48999999999999994, 0.51 
15, 12, 90, 0.5971074380165289, 0.4028925619834711 
16, 21, 103, 0.6595408631772268, 0.3404591368227732 
17, 10, 79, 0.5467033976124885, 0.45329660238751146 
18, 10, 78, 0.5422314049586776, 0.4577685950413224 
19, 11, 91, 0.6017998163452709, 0.3982001836547291 
20, 9, 92, 0.6065105601469238, 0.39348943985307616 
21, 9, 69, 0.502809917355372, 0.49719008264462805 
22, 13, 56, 0.44849403122130393, 0.5515059687786961 
23, 17, 124, 0.766951331496786, 0.23304866850321404 
24, 5, 30, 0.3491735537190083, 0.6508264462809916 
25, 6, 51, 0.4284297520661157, 0.5715702479338842 
26, 17, 74, 0.5245270890725436, 0.47547291092745636 
27, 15, 64, 0.4815518824609734, 0.5184481175390265 
28, 7, 40, 0.3859044995408632, 0.6140955004591369 
29, 3, 16, 0.3008356290174472, 0.6991643709825528 
30, 7, 52, 0.43240587695133154, 0.5675941230486685 
31, 13, 81, 0.555702479338843, 0.444297520661157 
32, 10, 38, 0.3784113865932047, 0.6215886134067953 
33, 10, 45, 0.4049586776859504, 0.5950413223140496 
34, 7, 49, 0.42053259871441684, 0.5794674012855832 
35, 17, 99, 0.6400000000000001, 0.3599999999999999 
36, 3, 18, 0.3075206611570248, 0.6924793388429752 
37, 12, 71, 0.5114416896235078, 0.4885583103764922 
38, 5, 19, 0.31089072543618, 0.68910927456382 
39, 10, 60, 0.4648760330578513, 0.5351239669421487 
40, 28, 130, 0.7991276400367309, 0.20087235996326913 
41, 11, 45, 0.4049586776859504, 0.5950413223140496 
42, 9, 64, 0.4815518824609734, 0.5184481175390265 
43, 12, 86, 0.5785215794306704, 0.4214784205693296 
44, 19, 116, 0.7250780532598715, 0.2749219467401285 
45, 17, 113, 0.7096786042240587, 0.2903213957759413 
46, 23, 134, 0.8209458218549127, 0.17905417814508728 
47, 15, 112, 0.7045821854912764, 0.2954178145087236 
48, 10, 71, 0.5114416896235078, 0.4885583103764922 
49, 22, 119, 0.7406427915518824, 0.2593572084481176 
50, 19, 125, 0.7722681359044995, 0.2277318640955005 
51, 19, 131, 0.80455463728191, 0.19544536271809 
52, 16, 113, 0.7096786042240587, 0.2903213957759413 
53, 27, 165, 1.0, 0.0 
54, 14, 98, 0.6351606978879707, 0.3648393021120293 
55, 12, 85, 0.573921028466483, 0.42607897153351704 
56, 14, 82, 0.5602295684113867, 0.4397704315886133 
57, 11, 66, 0.48999999999999994, 0.51 
58, 16, 76, 0.5333425160697889, 0.4666574839302111 
59, 7, 52, 0.43240587695133154, 0.5675941230486685 
60, 17, 97, 0.6303397612488522, 0.36966023875114784 
61, 21, 113, 0.7096786042240587, 0.2903213957759413 
62, 16, 109, 0.6894031221303949, 0.3105968778696051 
63, 9, 65, 0.4857667584940313, 0.5142332415059687 
64, 15, 85, 0.573921028466483, 0.42607897153351704 
65, 16, 98, 0.6351606978879707, 0.3648393021120293 
66, 10, 94, 0.6159871441689625, 0.3840128558310375 
67, 8, 72, 0.5157851239669421, 0.4842148760330579 
68, 20, 129, 0.7937190082644627, 0.20628099173553727 
69, 29, 147, 0.8938842975206611, 0.10611570247933888 
70, 24, 133, 0.815463728191001, 0.184536271808999 
71, 12, 92, 0.6065105601469238, 0.39348943985307616 
72, 24, 143, 0.8711111111111112, 0.12888888888888883 
73, 15, 84, 0.5693388429752065, 0.43066115702479346 
74, 9, 46, 0.40882460973370066, 0.5911753902662993 
75, 13, 64, 0.4815518824609734, 0.5184481175390265 
76, 10, 62, 0.4731772268135904, 0.5268227731864096 
77, 15, 74, 0.5245270890725436, 0.47547291092745636 
78, 12, 77, 0.5377777777777779, 0.4622222222222221 
79, 9, 72, 0.5157851239669421, 0.4842148760330579 
80, 17, 92, 0.6065105601469238, 0.39348943985307616 
81, 12, 81, 0.555702479338843, 0.444297520661157 
82, 15, 108, 0.6843801652892562, 0.31561983471074384 
83, 7, 37, 0.3746923783287419, 0.6253076216712581 
84, 22, 129, 0.7937190082644627, 0.20628099173553727 
85, 9, 63, 0.47735537190082644, 0.5226446280991736 
86, 16, 79, 0.5467033976124885, 0.45329660238751146 
87, 12, 94, 0.6159871441689625, 0.3840128558310375 
88, 10, 69, 0.502809917355372, 0.49719008264462805 
89, 2, 15, 0.29752066115702475, 0.7024793388429753 
90, 2, 13, 0.2909458218549128, 0.7090541781450872 
91, 19, 104, 0.6644719926538109, 0.33552800734618915 
92, 12, 76, 0.5333425160697889, 0.4666574839302111 
93, 15, 97, 0.6303397612488522, 0.36966023875114784 
94, 12, 92, 0.6065105601469238, 0.39348943985307616 
95, 8, 56, 0.44849403122130393, 0.5515059687786961 
96, 5, 36, 0.3709917355371901, 0.6290082644628099 
97, 20, 137, 0.8375022956841138, 0.16249770431588617 
98, 2, 26, 0.33499540863177224, 0.6650045913682278 
99, 17, 94, 0.6159871441689625, 0.3840128558310375 
100, 7, 48, 0.41661157024793394, 0.5833884297520661 
101, 8, 49, 0.42053259871441684, 0.5794674012855832 
102, 5, 47, 0.4127089072543618, 0.5872910927456382 
103, 4, 39, 0.3821487603305785, 0.6178512396694216 
104, 9, 50, 0.4244719926538108, 0.5755280073461893 
105, 6, 37, 0.3746923783287419, 0.6253076216712581 
106, 16, 79, 0.5467033976124885, 0.45329660238751146 
107, 14, 61, 0.46901744719926536, 0.5309825528007346 
108, 9, 41, 0.3896786042240588, 0.6103213957759412 
109, 10, 37, 0.3746923783287419, 0.6253076216712581 
110, 14, 68, 0.4985215794306703, 0.5014784205693297 
111, 17, 88, 0.5877777777777777, 0.41222222222222227 
112, 13, 64, 0.4815518824609734, 0.5184481175390265 
113, 6, 56, 0.44849403122130393, 0.5515059687786961 
114, 24, 141, 0.8598347107438016, 0.14016528925619842 
115, 10, 75, 0.5289256198347108, 0.47107438016528924 
116, 9, 56, 0.44849403122130393, 0.5515059687786961 
117, 6, 46, 0.40882460973370066, 0.5911753902662993 
118, 5, 50, 0.4244719926538108, 0.5755280073461893 
119, 13, 87, 0.5831404958677686, 0.4168595041322314 
120, 23, 123, 0.7616528925619835, 0.23834710743801646 
121, 3, 38, 0.3784113865932047, 0.6215886134067953 
122, 7, 55, 0.4444444444444444, 0.5555555555555556 
123, 6, 44, 0.4011111111111111, 0.5988888888888889 
124, 23, 139, 0.8486317722681358, 0.1513682277318642 
125, 22, 144, 0.8767768595041321, 0.12322314049586791 
126, 15, 107, 0.6793755739210284, 0.32062442607897157 
127, 12, 100, 0.6448576675849402, 0.35514233241505977 
128, 13, 69, 0.502809917355372, 0.49719008264462805 
129, 9, 36, 0.3709917355371901, 0.6290082644628099 
130, 11, 93, 0.6112396694214874, 0.38876033057851256 
131, 5, 36, 0.3709917355371901, 0.6290082644628099 
132, 14, 108, 0.6843801652892562, 0.31561983471074384 
133, 14, 79, 0.5467033976124885, 0.45329660238751146 
134, 6, 38, 0.3784113865932047, 0.6215886134067953 
135, 3, 22, 0.32111111111111107, 0.6788888888888889 
136, 9, 61, 0.46901744719926536, 0.5309825528007346 
137, 21, 122, 0.7563728191000917, 0.2436271808999083 
138, 24, 104, 0.6644719926538109, 0.33552800734618915 
139, 8, 62, 0.4731772268135904, 0.5268227731864096 
140, 16, 105, 0.6694214876033057, 0.33057851239669434 
141, 11, 105, 0.6694214876033057, 0.33057851239669434 
142, 12, 78, 0.5422314049586776, 0.4577685950413224 
143, 29, 131, 0.80455463728191, 0.19544536271809 
144, 18, 104, 0.6644719926538109, 0.33552800734618915 
145, 9, 66, 0.48999999999999994, 0.51 
146, 12, 106, 0.6743893480257118, 0.3256106519742882 
147, 11, 95, 0.620752984389348, 0.379247015610652 
148, 13, 110, 0.6944444444444443, 0.3055555555555557 
149, 21, 123, 0.7616528925619835, 0.23834710743801646 
150, 26, 96, 0.6255371900826446, 0.37446280991735537 
151, 9, 46, 0.40882460973370066, 0.5911753902662993 
152, 7, 43, 0.39728191000918284, 0.6027180899908171 
153, 13, 91, 0.6017998163452709, 0.3982001836547291 
154, 4, 37, 0.3746923783287419, 0.6253076216712581 
155, 34, 150, 0.9111570247933886, 0.08884297520661144 
156, 12, 95, 0.620752984389348, 0.379247015610652 
157, 7, 68, 0.4985215794306703, 0.5014784205693297 
158, 3, 40, 0.3859044995408632, 0.6140955004591369 
159, 9, 61, 0.46901744719926536, 0.5309825528007346 
160, 15, 111, 0.6995041322314051, 0.30049586776859494 
161, 12, 105, 0.6694214876033057, 0.33057851239669434 
162, 17, 103, 0.6595408631772268, 0.3404591368227732 
163, 9, 80, 0.5511937557392103, 0.44880624426078974 
164, 19, 123, 0.7616528925619835, 0.23834710743801646 
165, 19, 125, 0.7722681359044995, 0.2277318640955005 
166, 12, 105, 0.6694214876033057, 0.33057851239669434 
167, 16, 87, 0.5831404958677686, 0.4168595041322314 
168, 24, 148, 0.899623507805326, 0.10037649219467404 
169, 19, 103, 0.6595408631772268, 0.3404591368227732 
170, 7, 49, 0.42053259871441684, 0.5794674012855832 
171, 22, 116, 0.7250780532598715, 0.2749219467401285 
172, 11, 69, 0.502809917355372, 0.49719008264462805 
173, 17, 80, 0.5511937557392103, 0.44880624426078974 
174, 12, 88, 0.5877777777777777, 0.41222222222222227 
175, 15, 89, 0.592433425160698, 0.40756657483930203 
176, 5, 46, 0.40882460973370066, 0.5911753902662993 
177, 15, 111, 0.6995041322314051, 0.30049586776859494 
178, 11, 77, 0.5377777777777779, 0.4622222222222221 
179, 11, 50, 0.4244719926538108, 0.5755280073461893 
180, 15, 91, 0.6017998163452709, 0.3982001836547291 
181, 10, 76, 0.5333425160697889, 0.4666574839302111 
182, 7, 45, 0.4049586776859504, 0.5950413223140496 
183, 27, 118, 0.7354361799816347, 0.2645638200183653 
184, 25, 122, 0.7563728191000917, 0.2436271808999083 
185, 8, 73, 0.5201469237832874, 0.4798530762167126 
186, 6, 56, 0.44849403122130393, 0.5515059687786961 
187, 12, 75, 0.5289256198347108, 0.47107438016528924 
188, 5, 48, 0.41661157024793394, 0.5833884297520661 
189, 14, 90, 0.5971074380165289, 0.4028925619834711 
190, 0, 1, 0.2530394857667585, 0.7469605142332415 
191, 3, 23, 0.32455463728191003, 0.67544536271809 
192, 17, 115, 0.7199265381083564, 0.2800734618916436 
193, 13, 93, 0.6112396694214874, 0.38876033057851256 
194, 20, 96, 0.6255371900826446, 0.37446280991735537 
195, 9, 98, 0.6351606978879707, 0.3648393021120293 
196, 0, 1, 0.2530394857667585, 0.7469605142332415 
197, 5, 40, 0.3859044995408632, 0.6140955004591369 
198, 3, 20, 0.31427915518824606, 0.685720844811754 
199, 1, 8, 0.27483011937557394, 0.725169880624426 
200, 7, 56, 0.44849403122130393, 0.5515059687786961 
201, 12, 90, 0.5971074380165289, 0.4028925619834711 
202, 4, 22, 0.32111111111111107, 0.6788888888888889 
203, 7, 74, 0.5245270890725436, 0.47547291092745636 
204, 11, 53, 0.43640036730945825, 0.5635996326905417 
205, 13, 71, 0.5114416896235078, 0.4885583103764922 
206, 12, 73, 0.5201469237832874, 0.4798530762167126 
207, 6, 40, 0.3859044995408632, 0.6140955004591369 
208, 12, 74, 0.5245270890725436, 0.47547291092745636 
209, 7, 38, 0.3784113865932047, 0.6215886134067953 
210, 1, 5, 0.26538108356290174, 0.7346189164370982 
211, 10, 78, 0.5422314049586776, 0.4577685950413224 
212, 3, 47, 0.4127089072543618, 0.5872910927456382 
213, 12, 71, 0.5114416896235078, 0.4885583103764922 
214, 7, 85, 0.573921028466483, 0.42607897153351704 
215, 6, 50, 0.4244719926538108, 0.5755280073461893 
216, 2, 14, 0.29422405876951335, 0.7057759412304867 

