2021-09-19 02:54:28,115 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2,3,4', did='d1', grain_alpha='20', grain_p='20', method='brute', percent_R='0.25', percent_S='0.25', rev=False, seed='32', sw=True, version='v09190254')
2021-09-19 02:54:28,129 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-19 02:54:28,759 - INFO - Finish generate valuations and costs using using a=2
2021-09-19 02:54:29,028 - INFO - compute: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,028 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,028 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,028 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,029 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,029 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,029 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,029 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,030 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,030 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,030 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,030 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,030 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,031 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,031 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,031 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,031 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,031 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,032 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,032 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,032 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,032 - INFO - load: budget=1; scheme=(0.05,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,032 - INFO - load: budget=1; scheme=(0.05,0.0025000000000000005); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,032 - INFO - load: budget=1; scheme=(0.05,0.005000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
