2021-09-18 02:51:06,021 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2', did='d2', grain_alpha='5', grain_p='5', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180251')
2021-09-18 02:51:06,221 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 02:51:07,472 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 02:51:08,283 - INFO - compute: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:08,283 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:08,284 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:08,284 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:08,285 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:08,285 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:08,285 - INFO - load: budget=1; scheme=(0.2,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:08,324 - INFO - compute: budget=1; scheme=(0.2,0.04000000000000001); tilderR=(306) tilderS=(1); result=({739}, 9169); rev=1467.04
2021-09-18 02:51:08,411 - INFO - compute: budget=1; scheme=(0.2,0.08000000000000002); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=7295.759999999999
2021-09-18 02:51:08,533 - INFO - compute: budget=1; scheme=(0.2,0.12000000000000002); tilderR=(306) tilderS=(3); result=((301,), 60798); rev=4863.839999999999
2021-09-18 02:51:08,864 - INFO - compute: budget=1; scheme=(0.2,0.16000000000000003); tilderR=(306) tilderS=(8); result=((301,), 60798); rev=2431.9199999999987
2021-09-18 02:51:09,260 - INFO - compute: budget=1; scheme=(0.2,0.2); tilderR=(306) tilderS=(10); result=((301,), 60798); rev=0.0
2021-09-18 02:51:09,275 - INFO - compute: budget=1; scheme=(0.4,0.0); tilderR=(161) tilderS=(0); result=(set(), 0); rev=0.0
