2021-09-18 03:10:37,750 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2', did='d2', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180310')
2021-09-18 03:10:37,947 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 03:10:39,149 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 03:10:39,947 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,947 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,947 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,948 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,948 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,949 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,949 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,949 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,950 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,950 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,950 - INFO - load: budget=1; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,951 - INFO - load: budget=1; scheme=(0.1,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,951 - INFO - load: budget=1; scheme=(0.1,0.010000000000000002); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,951 - INFO - load: budget=1; scheme=(0.1,0.020000000000000004); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,952 - INFO - load: budget=1; scheme=(0.1,0.030000000000000006); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,952 - INFO - load: budget=1; scheme=(0.1,0.04000000000000001); tilderR=(306) tilderS=(1); result=({739}, 9169); rev=550.14
2021-09-18 03:10:39,953 - INFO - load: budget=1; scheme=(0.1,0.05); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=3039.9
2021-09-18 03:10:39,954 - INFO - load: budget=1; scheme=(0.1,0.06000000000000001); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=2431.9199999999996
2021-09-18 03:10:39,955 - INFO - load: budget=1; scheme=(0.1,0.07); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=1823.9399999999998
2021-09-18 03:10:39,955 - INFO - load: budget=1; scheme=(0.1,0.08000000000000002); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=1215.9599999999994
2021-09-18 03:10:39,956 - INFO - load: budget=1; scheme=(0.1,0.09000000000000001); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=607.9799999999997
2021-09-18 03:10:39,957 - INFO - load: budget=1; scheme=(0.1,0.1); tilderR=(306) tilderS=(3); result=((301,), 60798); rev=0.0
2021-09-18 03:10:39,957 - INFO - load: budget=1; scheme=(0.2,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,958 - INFO - load: budget=1; scheme=(0.2,0.020000000000000004); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:39,958 - INFO - load: budget=1; scheme=(0.2,0.04000000000000001); tilderR=(306) tilderS=(1); result=({739}, 9169); rev=1467.04
2021-09-18 03:10:39,959 - INFO - load: budget=1; scheme=(0.2,0.06000000000000001); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=8511.720000000001
2021-09-18 03:10:39,960 - INFO - load: budget=1; scheme=(0.2,0.08000000000000002); tilderR=(306) tilderS=(2); result=((301,), 60798); rev=7295.759999999999
2021-09-18 03:10:39,961 - INFO - load: budget=1; scheme=(0.2,0.1); tilderR=(306) tilderS=(3); result=((301,), 60798); rev=6079.8
2021-09-18 03:10:39,962 - INFO - load: budget=1; scheme=(0.2,0.12000000000000002); tilderR=(306) tilderS=(3); result=((301,), 60798); rev=4863.839999999999
2021-09-18 03:10:40,199 - INFO - compute: budget=1; scheme=(0.2,0.14); tilderR=(306) tilderS=(6); result=((301,), 60798); rev=3647.8799999999997
2021-09-18 03:10:40,200 - INFO - load: budget=1; scheme=(0.2,0.16000000000000003); tilderR=(306) tilderS=(8); result=((301,), 60798); rev=2431.9199999999987
2021-09-18 03:10:40,201 - INFO - load: budget=1; scheme=(0.2,0.18000000000000002); tilderR=(306) tilderS=(8); result=((301,), 60798); rev=1215.9599999999994
2021-09-18 03:10:40,202 - INFO - load: budget=1; scheme=(0.2,0.2); tilderR=(306) tilderS=(10); result=((301,), 60798); rev=0.0
2021-09-18 03:10:40,224 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.0); tilderR=(203) tilderS=(0); result=(set(), 0); rev=0.0
