0	0.4	(0.0,0.4)	109	455		109	455		172, 109	876		172, 109	876		17, 172, 109	1279		17, 172, 109	1279		17, 172, 109	1279		17, 172, 109	1279	
0	0.6	(0.0,0.6000000000000001)	49	751		49	751		167, 49	1351		49, 169	1295		167, 169, 49	1895		49, 169, 167	1895		65, 167, 169, 49	2405		65, 49, 169, 167	2405	
0	0.8	(0.0,0.8)	150	914		150	914		1, 150	1668		1, 150	1668		1, 150, 61	2242		1, 150, 49	2236		1, 150, 61, 125	2815		1, 125, 150, 49	2785	
0	1	(0.0,1.0)	150	914		150	914		1, 150	1668		46, 150	1568		1, 150, 149	2302		46, 1, 150	2246		1, 150, 149, 49	2870		46, 1, 150, 49	2780	
0.2	0.4	(0.2,0.4)	109	393		109	393		172, 109	742		172, 109	742		17, 172, 109	1069		17, 172, 109	1069		17, 172, 109	1069		17, 172, 109	1069	
0.2	0.6	(0.2,0.6000000000000001)	49	599		49	599		167, 49	1098		49, 169	1050		167, 169, 49	1549		49, 169, 167	1549		65, 167, 169, 49	1978		65, 49, 169, 167	1978	
0.2	0.8	(0.2,0.8)	150	762		150	762		150, 49	1361		49, 150	1361		1, 150, 61	1856		49, 150, 1	1815		1, 150, 61, 125	2344		49, 125, 150, 1	2283	
0.2	1	(0.2,1.0)	150	762		150	762		150, 49	1361		46, 150	1295		150, 149, 49	1910		46, 49, 150	1821		1, 150, 149, 49	2364		46, 49, 150, 1	2264	
0.4	0.4	(0.4,0.4)	109	187		109	187		17, 109	332		17, 109	332		17, 172, 109	470		17, 172, 109	470		17, 172, 109	470		17, 172, 109	470	
0.4	0.6	(0.4,0.6000000000000001)	49	292		49	292		205, 49	505		49, 169	500		169, 205, 49	695		49, 169, 205	695		167, 169, 205, 49	879		49, 109, 169, 205	731	
0.4	0.8	(0.4,0.8)	49	292		49	292		150, 49	568		49, 1	499		150, 49, 205	781		49, 150, 1	775		1, 150, 49, 205	988		169, 49, 150, 1	963	
0.4	1	(0.4,1.0)	49	292		49	292		150, 49	568		49, 1	499		150, 149, 49	783		46, 49, 1	738		1, 150, 149, 49	990		46, 49, 150, 1	970	
0.6	0.4	(0.6000000000000001,0.4)	109	11		109	11		17, 109	20		17, 109	20		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23	
0.6	0.6	(0.6000000000000001,0.6000000000000001)	49	22		49	22		169, 49	37		49, 169	37		169, 205, 49	49		49, 169, 31	42		169, 205, 17, 49	55		49, 169, 205, 31	54	
0.6	0.8	(0.6000000000000001,0.8)	49	22		49	22		1, 169	38		49, 1	36		1, 169, 49	51		49, 169, 1	51		1, 169, 49, 205	63		49, 169, 1, 47	57	
0.6	1	(0.6000000000000001,1.0)	49	22		49	22		46, 49	39		49, 1	36		1, 46, 49	53		46, 49, 1	53		1, 46, 49, 205	65		46, 49, 169, 1	57	
