0	0.4	(0.0,0.4)	109	455	-182	109	455	-182	172, 109	876	-350.4	172, 109	876	-350.4	17, 172, 109	1279	-511.6	17, 172, 109	1279	-511.6	17, 172, 109	1279	-511.6	17, 172, 109	1279	-511.6
0	0.6	(0.0,0.6000000000000001)	49	751	-450.6	49	751	-450.6	167, 49	1351	-810.6	49, 169	1295	-777	167, 169, 49	1895	-1137	49, 169, 167	1895	-1137	65, 167, 169, 49	2405	-1443	65, 49, 169, 167	2405	-1443
0	0.8	(0.0,0.8)	150	914	-731.2	150	914	-731.2	1, 150	1668	-1334.4	1, 150	1668	-1334.4	1, 150, 61	2242	-1793.6	1, 150, 49	2236	-1788.8	1, 150, 61, 125	2815	-2252	1, 125, 150, 49	2785	-2228
0	1	(0.0,1.0)	150	914	-914	150	914	-914	1, 150	1668	-1668	46, 150	1568	-1568	1, 150, 149	2302	-2302	46, 1, 150	2246	-2246	1, 150, 149, 49	2870	-2870	46, 1, 150, 49	2780	-2780
0.2	0.4	(0.2,0.4)	109	393	-78.6	109	393	-78.6	172, 109	742	-148.4	172, 109	742	-148.4	17, 172, 109	1069	-213.8	17, 172, 109	1069	-213.8	17, 172, 109	1069	-213.8	17, 172, 109	1069	-213.8
0.2	0.6	(0.2,0.6000000000000001)	49	599	-239.6	49	599	-239.6	167, 49	1098	-439.2	49, 169	1050	-420	167, 169, 49	1549	-619.6	49, 169, 167	1549	-619.6	65, 167, 169, 49	1978	-791.2	65, 49, 169, 167	1978	-791.2
0.2	0.8	(0.2,0.8)	150	762	-457.2	150	762	-457.2	150, 49	1361	-816.6	49, 150	1361	-816.6	1, 150, 61	1856	-1113.6	49, 150, 1	1815	-1089	1, 150, 61, 125	2344	-1406.4	49, 125, 150, 1	2283	-1369.8
0.2	1	(0.2,1.0)	150	762	-609.6	150	762	-609.6	150, 49	1361	-1088.8	46, 150	1295	-1036	150, 149, 49	1910	-1528	46, 49, 150	1821	-1456.8	1, 150, 149, 49	2364	-1891.2	46, 49, 150, 1	2264	-1811.2
0.4	0.4	(0.4,0.4)	109	187	0	109	187	0	17, 109	332	0	17, 109	332	0	17, 172, 109	470	0	17, 172, 109	470	0	17, 172, 109	470	0	17, 172, 109	470	0
0.4	0.6	(0.4,0.6000000000000001)	49	292	-58.4	49	292	-58.4	205, 49	505	-101	49, 169	500	-100	169, 205, 49	695	-139	49, 169, 205	695	-139	167, 169, 205, 49	879	-175.8	49, 109, 169, 205	731	-146.2
0.4	0.8	(0.4,0.8)	49	292	-116.8	49	292	-116.8	150, 49	568	-227.2	49, 1	499	-199.6	150, 49, 205	781	-312.4	49, 150, 1	775	-310	1, 150, 49, 205	988	-395.2	169, 49, 150, 1	963	-385.2
0.4	1	(0.4,1.0)	49	292	-175.2	49	292	-175.2	150, 49	568	-340.8	49, 1	499	-299.4	150, 149, 49	783	-469.8	46, 49, 1	738	-442.8	1, 150, 149, 49	990	-594	46, 49, 150, 1	970	-582
0.6	0.4	(0.6000000000000001,0.4)	109	11	2.2	109	11	2.2	17, 109	20	4	17, 109	20	4	17, 172, 109	23	4.6	17, 172, 109	23	4.6	17, 172, 109	23	4.6	17, 172, 109	23	4.6
0.6	0.6	(0.6000000000000001,0.6000000000000001)	49	22	0	49	22	0	169, 49	37	0	49, 169	37	0	169, 205, 49	49	0	49, 169, 31	42	0	169, 205, 17, 49	55	0	49, 169, 205, 31	54	0
0.6	0.8	(0.6000000000000001,0.8)	49	22	-4.4	49	22	-4.4	1, 169	38	-7.6	49, 1	36	-7.2	1, 169, 49	51	-10.2	49, 169, 1	51	-10.2	1, 169, 49, 205	63	-12.6	49, 169, 1, 47	57	-11.4
0.6	1	(0.6000000000000001,1.0)	49	22	-8.8	49	22	-8.8	46, 49	39	-15.6	49, 1	36	-14.4	1, 46, 49	53	-21.2	46, 49, 1	53	-21.2	1, 46, 49, 205	65	-26	46, 49, 169, 1	57	-22.8
