2021-09-12 23:10:19,937 - INFO - compute: budget=3, scheme=(0.0,0.4), result=({17, 172, 109}, 1279)
2021-09-12 23:10:22,758 - INFO - compute: budget=3, scheme=(0.0,0.6000000000000001), result=((167, 169, 49), 1895)
2021-09-12 23:11:21,458 - INFO - compute: budget=3, scheme=(0.0,0.8), result=((1, 150, 61), 2242)
2021-09-12 23:12:49,528 - INFO - compute: budget=3, scheme=(0.0,1.0), result=((1, 150, 149), 2302)
2021-09-12 23:12:49,531 - INFO - compute: budget=3, scheme=(0.2,0.4), result=({17, 172, 109}, 1069)
2021-09-12 23:12:51,925 - INFO - compute: budget=3, scheme=(0.2,0.6000000000000001), result=((167, 169, 49), 1549)
2021-09-12 23:13:37,126 - INFO - compute: budget=3, scheme=(0.2,0.8), result=((1, 150, 61), 1856)
2021-09-12 23:14:46,873 - INFO - compute: budget=3, scheme=(0.2,1.0), result=((150, 149, 49), 1910)
2021-09-12 23:14:46,874 - INFO - compute: budget=3, scheme=(0.4,0.4), result=({17, 172, 109}, 470)
2021-09-12 23:14:47,794 - INFO - compute: budget=3, scheme=(0.4,0.6000000000000001), result=((169, 205, 49), 695)
2021-09-12 23:15:06,174 - INFO - compute: budget=3, scheme=(0.4,0.8), result=((150, 49, 205), 781)
2021-09-12 23:15:34,083 - INFO - compute: budget=3, scheme=(0.4,1.0), result=((150, 149, 49), 783)
2021-09-12 23:15:34,084 - INFO - compute: budget=3, scheme=(0.6000000000000001,0.4), result=({17, 172, 109}, 23)
2021-09-12 23:15:34,146 - INFO - compute: budget=3, scheme=(0.6000000000000001,0.6000000000000001), result=((169, 205, 49), 49)
2021-09-12 23:15:35,172 - INFO - compute: budget=3, scheme=(0.6000000000000001,0.8), result=((1, 169, 49), 51)
2021-09-12 23:15:36,720 - INFO - compute: budget=3, scheme=(0.6000000000000001,1.0), result=((1, 46, 49), 53)
