2021-09-13 02:16:59,235 - INFO - load: budget=1, scheme=(0.0,0.30000000000000004), result=((109,), 455) 
2021-09-13 02:16:59,236 - INFO - load: budget=1, scheme=(0.0,0.4), result=((109,), 455) 
2021-09-13 02:16:59,257 - INFO - compute: budget=1, scheme=(0.0,0.5), result=((49,), 751) 
2021-09-13 02:16:59,257 - INFO - load: budget=1, scheme=(0.0,0.6000000000000001), result=((49,), 751) 
2021-09-13 02:16:59,319 - INFO - compute: budget=1, scheme=(0.0,0.7000000000000001), result=((49,), 751) 
2021-09-13 02:16:59,319 - INFO - load: budget=1, scheme=(0.0,0.8), result=((150,), 914) 
2021-09-13 02:16:59,417 - INFO - compute: budget=1, scheme=(0.0,0.9), result=((150,), 914) 
2021-09-13 02:16:59,417 - INFO - load: budget=1, scheme=(0.0,1.0), result=((150,), 914) 
2021-09-13 02:16:59,422 - INFO - compute: budget=1, scheme=(0.1,0.30000000000000004), result=((109,), 441) 
2021-09-13 02:16:59,422 - INFO - load: budget=1, scheme=(0.1,0.4), result=((109,), 441) 
2021-09-13 02:16:59,442 - INFO - compute: budget=1, scheme=(0.1,0.5), result=((49,), 702) 
2021-09-13 02:16:59,476 - INFO - compute: budget=1, scheme=(0.1,0.6000000000000001), result=((49,), 702) 
2021-09-13 02:16:59,535 - INFO - compute: budget=1, scheme=(0.1,0.7000000000000001), result=((49,), 702) 
2021-09-13 02:16:59,617 - INFO - compute: budget=1, scheme=(0.1,0.8), result=((150,), 857) 
2021-09-13 02:16:59,710 - INFO - compute: budget=1, scheme=(0.1,0.9), result=((150,), 857) 
2021-09-13 02:16:59,804 - INFO - compute: budget=1, scheme=(0.1,1.0), result=((150,), 857) 
2021-09-13 02:16:59,804 - INFO - load: budget=1, scheme=(0.2,0.30000000000000004), result=((109,), 393) 
2021-09-13 02:16:59,804 - INFO - load: budget=1, scheme=(0.2,0.4), result=((109,), 393) 
2021-09-13 02:16:59,821 - INFO - compute: budget=1, scheme=(0.2,0.5), result=((49,), 599) 
2021-09-13 02:16:59,821 - INFO - load: budget=1, scheme=(0.2,0.6000000000000001), result=((49,), 599) 
2021-09-13 02:16:59,873 - INFO - compute: budget=1, scheme=(0.2,0.7000000000000001), result=((49,), 599) 
2021-09-13 02:16:59,873 - INFO - load: budget=1, scheme=(0.2,0.8), result=((150,), 762) 
2021-09-13 02:16:59,954 - INFO - compute: budget=1, scheme=(0.2,0.9), result=((150,), 762) 
2021-09-13 02:16:59,954 - INFO - load: budget=1, scheme=(0.2,1.0), result=((150,), 762) 
2021-09-13 02:16:59,957 - INFO - compute: budget=1, scheme=(0.30000000000000004,0.30000000000000004), result=((109,), 259) 
2021-09-13 02:16:59,957 - INFO - load: budget=1, scheme=(0.30000000000000004,0.4), result=((109,), 259) 
2021-09-13 02:16:59,967 - INFO - compute: budget=1, scheme=(0.30000000000000004,0.5), result=((49,), 421) 
2021-09-13 02:16:59,984 - INFO - compute: budget=1, scheme=(0.30000000000000004,0.6000000000000001), result=((49,), 421) 
2021-09-13 02:17:00,017 - INFO - compute: budget=1, scheme=(0.30000000000000004,0.7000000000000001), result=((49,), 421) 
2021-09-13 02:17:00,063 - INFO - compute: budget=1, scheme=(0.30000000000000004,0.8), result=((150,), 440) 
2021-09-13 02:17:00,114 - INFO - compute: budget=1, scheme=(0.30000000000000004,0.9), result=((150,), 440) 
2021-09-13 02:17:00,166 - INFO - compute: budget=1, scheme=(0.30000000000000004,1.0), result=((150,), 440) 
2021-09-13 02:17:00,166 - INFO - load: budget=1, scheme=(0.4,0.30000000000000004), result=((109,), 187) 
2021-09-13 02:17:00,166 - INFO - load: budget=1, scheme=(0.4,0.4), result=((109,), 187) 
2021-09-13 02:17:00,173 - INFO - compute: budget=1, scheme=(0.4,0.5), result=((49,), 292) 
2021-09-13 02:17:00,173 - INFO - load: budget=1, scheme=(0.4,0.6000000000000001), result=((49,), 292) 
2021-09-13 02:17:00,194 - INFO - compute: budget=1, scheme=(0.4,0.7000000000000001), result=((49,), 292) 
2021-09-13 02:17:00,194 - INFO - load: budget=1, scheme=(0.4,0.8), result=((49,), 292) 
2021-09-13 02:17:00,226 - INFO - compute: budget=1, scheme=(0.4,0.9), result=((49,), 292) 
2021-09-13 02:17:00,227 - INFO - load: budget=1, scheme=(0.4,1.0), result=((49,), 292) 
2021-09-13 02:17:00,228 - INFO - compute: budget=1, scheme=(0.5,0.30000000000000004), result=((109,), 73) 
2021-09-13 02:17:00,228 - INFO - load: budget=1, scheme=(0.5,0.4), result=((109,), 73) 
2021-09-13 02:17:00,231 - INFO - compute: budget=1, scheme=(0.5,0.5), result=((49,), 107) 
2021-09-13 02:17:00,235 - INFO - compute: budget=1, scheme=(0.5,0.6000000000000001), result=((49,), 107) 
2021-09-13 02:17:00,243 - INFO - compute: budget=1, scheme=(0.5,0.7000000000000001), result=((49,), 107) 
2021-09-13 02:17:00,255 - INFO - compute: budget=1, scheme=(0.5,0.8), result=((49,), 107) 
2021-09-13 02:17:00,269 - INFO - compute: budget=1, scheme=(0.5,0.9), result=((49,), 107) 
2021-09-13 02:17:00,282 - INFO - compute: budget=1, scheme=(0.5,1.0), result=((49,), 107) 
2021-09-13 02:17:00,282 - INFO - load: budget=1, scheme=(0.6000000000000001,0.30000000000000004), result=((109,), 11) 
2021-09-13 02:17:00,283 - INFO - load: budget=1, scheme=(0.6000000000000001,0.4), result=((109,), 11) 
2021-09-13 02:17:00,283 - INFO - compute: budget=1, scheme=(0.6000000000000001,0.5), result=((49,), 22) 
2021-09-13 02:17:00,283 - INFO - load: budget=1, scheme=(0.6000000000000001,0.6000000000000001), result=((49,), 22) 
2021-09-13 02:17:00,284 - INFO - compute: budget=1, scheme=(0.6000000000000001,0.7000000000000001), result=((49,), 22) 
2021-09-13 02:17:00,285 - INFO - load: budget=1, scheme=(0.6000000000000001,0.8), result=((49,), 22) 
2021-09-13 02:17:00,287 - INFO - compute: budget=1, scheme=(0.6000000000000001,0.9), result=((49,), 22) 
2021-09-13 02:17:00,287 - INFO - load: budget=1, scheme=(0.6000000000000001,1.0), result=((49,), 22) 
2021-09-13 02:17:00,287 - INFO - load: budget=1, scheme=(0.7000000000000001,0.30000000000000004), result=((109,), 11) 
2021-09-13 02:17:00,287 - INFO - load: budget=1, scheme=(0.7000000000000001,0.4), result=((109,), 11) 
2021-09-13 02:17:00,287 - INFO - load: budget=1, scheme=(0.7000000000000001,0.5), result=((49,), 22) 
2021-09-13 02:17:00,288 - INFO - load: budget=1, scheme=(0.7000000000000001,0.6000000000000001), result=((49,), 22) 
2021-09-13 02:17:00,288 - INFO - load: budget=1, scheme=(0.7000000000000001,0.7000000000000001), result=((49,), 22) 
2021-09-13 02:17:00,288 - INFO - load: budget=1, scheme=(0.7000000000000001,0.8), result=((49,), 22) 
2021-09-13 02:17:00,288 - INFO - load: budget=1, scheme=(0.7000000000000001,0.9), result=((49,), 22) 
2021-09-13 02:17:00,288 - INFO - load: budget=1, scheme=(0.7000000000000001,1.0), result=((49,), 22) 
