2021-09-13 02:32:30,179 - INFO - load: budget=3, scheme=(0.0,0.30000000000000004), result=({17, 172, 109}, 1279) 
2021-09-13 02:32:30,179 - INFO - load: budget=3, scheme=(0.0,0.4), result=({17, 172, 109}, 1279) 
2021-09-13 02:32:30,751 - INFO - compute: budget=3, scheme=(0.0,0.5), result=((172, 205, 49), 1646) 
2021-09-13 02:32:30,752 - INFO - load: budget=3, scheme=(0.0,0.6000000000000001), result=((167, 169, 49), 1895) 
2021-09-13 02:32:49,940 - INFO - compute: budget=3, scheme=(0.0,0.7000000000000001), result=((169, 49, 125), 1942) 
2021-09-13 02:32:49,941 - INFO - load: budget=3, scheme=(0.0,0.8), result=((1, 150, 61), 2242) 
2021-09-13 02:34:14,054 - INFO - compute: budget=3, scheme=(0.0,0.9), result=((1, 150, 149), 2302) 
2021-09-13 02:34:14,055 - INFO - load: budget=3, scheme=(0.0,1.0), result=((1, 150, 149), 2302) 
2021-09-13 02:34:14,058 - INFO - compute: budget=3, scheme=(0.1,0.30000000000000004), result=({17, 172, 109}, 1207) 
2021-09-13 02:34:14,059 - INFO - load: budget=3, scheme=(0.1,0.4), result=({17, 172, 109}, 1207) 
2021-09-13 02:34:14,598 - INFO - compute: budget=3, scheme=(0.1,0.5), result=((172, 205, 49), 1551) 
2021-09-13 02:34:17,290 - INFO - compute: budget=3, scheme=(0.1,0.6000000000000001), result=((167, 169, 49), 1778) 
2021-09-13 02:34:35,862 - INFO - compute: budget=3, scheme=(0.1,0.7000000000000001), result=((169, 49, 125), 1837) 
2021-09-13 02:35:30,103 - INFO - compute: budget=3, scheme=(0.1,0.8), result=((1, 150, 125), 2113) 
2021-09-13 02:36:48,470 - INFO - compute: budget=3, scheme=(0.1,0.9), result=((1, 150, 149), 2167) 
2021-09-13 02:38:12,138 - INFO - compute: budget=3, scheme=(0.1,1.0), result=((1, 150, 149), 2167) 
2021-09-13 02:38:12,139 - INFO - load: budget=3, scheme=(0.2,0.30000000000000004), result=({17, 172, 109}, 1069) 
2021-09-13 02:38:12,139 - INFO - load: budget=3, scheme=(0.2,0.4), result=({17, 172, 109}, 1069) 
2021-09-13 02:38:12,589 - INFO - compute: budget=3, scheme=(0.2,0.5), result=((172, 205, 49), 1357) 
2021-09-13 02:38:12,589 - INFO - load: budget=3, scheme=(0.2,0.6000000000000001), result=((167, 169, 49), 1549) 
2021-09-13 02:38:27,654 - INFO - compute: budget=3, scheme=(0.2,0.7000000000000001), result=((169, 49, 125), 1596) 
2021-09-13 02:38:27,654 - INFO - load: budget=3, scheme=(0.2,0.8), result=((1, 150, 61), 1856) 
2021-09-13 02:39:33,629 - INFO - compute: budget=3, scheme=(0.2,0.9), result=((150, 149, 49), 1910) 
2021-09-13 02:39:33,629 - INFO - load: budget=3, scheme=(0.2,1.0), result=((150, 149, 49), 1910) 
2021-09-13 02:39:33,631 - INFO - compute: budget=3, scheme=(0.30000000000000004,0.30000000000000004), result=({17, 172, 109}, 693) 
2021-09-13 02:39:33,631 - INFO - load: budget=3, scheme=(0.30000000000000004,0.4), result=({17, 172, 109}, 693) 
2021-09-13 02:39:33,914 - INFO - compute: budget=3, scheme=(0.30000000000000004,0.5), result=((172, 205, 49), 902) 
2021-09-13 02:39:35,311 - INFO - compute: budget=3, scheme=(0.30000000000000004,0.6000000000000001), result=((167, 169, 49), 1026) 
2021-09-13 02:39:44,894 - INFO - compute: budget=3, scheme=(0.30000000000000004,0.7000000000000001), result=((169, 49, 125), 1038) 
2021-09-13 02:40:14,204 - INFO - compute: budget=3, scheme=(0.30000000000000004,0.8), result=((150, 49, 205), 1156) 
2021-09-13 02:40:57,917 - INFO - compute: budget=3, scheme=(0.30000000000000004,0.9), result=((150, 149, 49), 1175) 
2021-09-13 02:41:41,708 - INFO - compute: budget=3, scheme=(0.30000000000000004,1.0), result=((150, 149, 49), 1175) 
2021-09-13 02:41:41,708 - INFO - load: budget=3, scheme=(0.4,0.30000000000000004), result=({17, 172, 109}, 470) 
2021-09-13 02:41:41,708 - INFO - load: budget=3, scheme=(0.4,0.4), result=({17, 172, 109}, 470) 
2021-09-13 02:41:41,886 - INFO - compute: budget=3, scheme=(0.4,0.5), result=((172, 205, 49), 620) 
2021-09-13 02:41:41,887 - INFO - load: budget=3, scheme=(0.4,0.6000000000000001), result=((169, 205, 49), 695) 
2021-09-13 02:41:48,058 - INFO - compute: budget=3, scheme=(0.4,0.7000000000000001), result=((49, 205, 125), 706) 
2021-09-13 02:41:48,059 - INFO - load: budget=3, scheme=(0.4,0.8), result=((150, 49, 205), 781) 
2021-09-13 02:42:15,154 - INFO - compute: budget=3, scheme=(0.4,0.9), result=((150, 149, 49), 783) 
2021-09-13 02:42:15,154 - INFO - load: budget=3, scheme=(0.4,1.0), result=((150, 149, 49), 783) 
2021-09-13 02:42:15,155 - INFO - compute: budget=3, scheme=(0.5,0.30000000000000004), result=({17, 172, 109}, 173) 
2021-09-13 02:42:15,155 - INFO - load: budget=3, scheme=(0.5,0.4), result=({17, 172, 109}, 173) 
2021-09-13 02:42:15,225 - INFO - compute: budget=3, scheme=(0.5,0.5), result=((172, 205, 49), 229) 
2021-09-13 02:42:15,586 - INFO - compute: budget=3, scheme=(0.5,0.6000000000000001), result=((167, 205, 49), 255) 
2021-09-13 02:42:17,968 - INFO - compute: budget=3, scheme=(0.5,0.7000000000000001), result=((167, 49, 205), 255) 
2021-09-13 02:42:25,972 - INFO - compute: budget=3, scheme=(0.5,0.8), result=((150, 49, 205), 283) 
2021-09-13 02:42:36,189 - INFO - compute: budget=3, scheme=(0.5,0.9), result=((150, 49, 205), 283) 
2021-09-13 02:42:47,753 - INFO - compute: budget=3, scheme=(0.5,1.0), result=((150, 49, 205), 283) 
2021-09-13 02:42:47,753 - INFO - load: budget=3, scheme=(0.6000000000000001,0.30000000000000004), result=({17, 172, 109}, 23) 
2021-09-13 02:42:47,753 - INFO - load: budget=3, scheme=(0.6000000000000001,0.4), result=({17, 172, 109}, 23) 
2021-09-13 02:42:47,764 - INFO - compute: budget=3, scheme=(0.6000000000000001,0.5), result=((205, 49, 146), 43) 
2021-09-13 02:42:47,764 - INFO - load: budget=3, scheme=(0.6000000000000001,0.6000000000000001), result=((169, 205, 49), 49) 
2021-09-13 02:42:48,105 - INFO - compute: budget=3, scheme=(0.6000000000000001,0.7000000000000001), result=((169, 49, 205), 49) 
2021-09-13 02:42:48,105 - INFO - load: budget=3, scheme=(0.6000000000000001,0.8), result=((1, 169, 49), 51) 
2021-09-13 02:42:49,629 - INFO - compute: budget=3, scheme=(0.6000000000000001,0.9), result=((1, 46, 49), 53) 
2021-09-13 02:42:49,629 - INFO - load: budget=3, scheme=(0.6000000000000001,1.0), result=((1, 46, 49), 53) 
2021-09-13 02:42:49,629 - INFO - load: budget=3, scheme=(0.7000000000000001,0.30000000000000004), result=({17, 172, 109}, 23) 
2021-09-13 02:42:49,629 - INFO - load: budget=3, scheme=(0.7000000000000001,0.4), result=({17, 172, 109}, 23) 
2021-09-13 02:42:49,629 - INFO - load: budget=3, scheme=(0.7000000000000001,0.5), result=((205, 49, 146), 43) 
2021-09-13 02:42:49,629 - INFO - load: budget=3, scheme=(0.7000000000000001,0.6000000000000001), result=((169, 205, 49), 49) 
2021-09-13 02:42:49,629 - INFO - load: budget=3, scheme=(0.7000000000000001,0.7000000000000001), result=((169, 49, 205), 49) 
2021-09-13 02:42:49,630 - INFO - load: budget=3, scheme=(0.7000000000000001,0.8), result=((1, 169, 49), 51) 
2021-09-13 02:42:49,630 - INFO - load: budget=3, scheme=(0.7000000000000001,0.9), result=((1, 46, 49), 53) 
2021-09-13 02:42:49,630 - INFO - load: budget=3, scheme=(0.7000000000000001,1.0), result=((1, 46, 49), 53) 
