2021-09-13 03:08:25,856 - INFO - compute: budget=2, scheme=(0.0,0.30000000000000004), result=((172, 109), 876) 
2021-09-13 03:08:25,856 - INFO - load: budget=2, scheme=(0.0,0.4), result=((172, 109), 876) 
2021-09-13 03:08:26,009 - INFO - compute: budget=2, scheme=(0.0,0.5), result=((205, 49), 1267) 
2021-09-13 03:08:26,414 - INFO - compute: budget=2, scheme=(0.0,0.6000000000000001), result=((167, 49), 1351) 
2021-09-13 03:08:27,814 - INFO - compute: budget=2, scheme=(0.0,0.7000000000000001), result=((49, 125), 1398) 
2021-09-13 03:08:30,652 - INFO - compute: budget=2, scheme=(0.0,0.8), result=((1, 150), 1668) 
2021-09-13 03:08:34,273 - INFO - compute: budget=2, scheme=(0.0,0.9), result=((1, 150), 1668) 
2021-09-13 03:08:38,052 - INFO - compute: budget=2, scheme=(0.0,1.0), result=((1, 150), 1668) 
2021-09-13 03:08:38,059 - INFO - compute: budget=2, scheme=(0.1,0.30000000000000004), result=((172, 109), 831) 
2021-09-13 03:08:38,059 - INFO - load: budget=2, scheme=(0.1,0.4), result=((172, 109), 831) 
2021-09-13 03:08:38,196 - INFO - compute: budget=2, scheme=(0.1,0.5), result=((205, 49), 1200) 
2021-09-13 03:08:38,577 - INFO - compute: budget=2, scheme=(0.1,0.6000000000000001), result=((167, 49), 1261) 
2021-09-13 03:08:39,901 - INFO - compute: budget=2, scheme=(0.1,0.7000000000000001), result=((49, 125), 1320) 
2021-09-13 03:08:42,620 - INFO - compute: budget=2, scheme=(0.1,0.8), result=((1, 150), 1562) 
2021-09-13 03:08:46,064 - INFO - compute: budget=2, scheme=(0.1,0.9), result=((1, 150), 1562) 
2021-09-13 03:08:49,633 - INFO - compute: budget=2, scheme=(0.1,1.0), result=((1, 150), 1562) 
2021-09-13 03:08:49,640 - INFO - compute: budget=2, scheme=(0.2,0.30000000000000004), result=((172, 109), 742) 
2021-09-13 03:08:49,640 - INFO - load: budget=2, scheme=(0.2,0.4), result=((172, 109), 742) 
2021-09-13 03:08:49,758 - INFO - compute: budget=2, scheme=(0.2,0.5), result=((205, 49), 1043) 
2021-09-13 03:08:50,087 - INFO - compute: budget=2, scheme=(0.2,0.6000000000000001), result=((167, 49), 1098) 
2021-09-13 03:08:51,216 - INFO - compute: budget=2, scheme=(0.2,0.7000000000000001), result=((49, 125), 1145) 
2021-09-13 03:08:53,534 - INFO - compute: budget=2, scheme=(0.2,0.8), result=((150, 49), 1361) 
2021-09-13 03:08:56,501 - INFO - compute: budget=2, scheme=(0.2,0.9), result=((150, 49), 1361) 
2021-09-13 03:08:59,575 - INFO - compute: budget=2, scheme=(0.2,1.0), result=((150, 49), 1361) 
2021-09-13 03:08:59,580 - INFO - compute: budget=2, scheme=(0.30000000000000004,0.30000000000000004), result=((17, 109), 477) 
2021-09-13 03:08:59,580 - INFO - load: budget=2, scheme=(0.30000000000000004,0.4), result=((17, 109), 477) 
2021-09-13 03:08:59,656 - INFO - compute: budget=2, scheme=(0.30000000000000004,0.5), result=((205, 49), 716) 
2021-09-13 03:08:59,861 - INFO - compute: budget=2, scheme=(0.30000000000000004,0.6000000000000001), result=((169, 49), 729) 
2021-09-13 03:09:00,566 - INFO - compute: budget=2, scheme=(0.30000000000000004,0.7000000000000001), result=((49, 125), 730) 
2021-09-13 03:09:02,023 - INFO - compute: budget=2, scheme=(0.30000000000000004,0.8), result=((150, 49), 861) 
2021-09-13 03:09:03,888 - INFO - compute: budget=2, scheme=(0.30000000000000004,0.9), result=((150, 49), 861) 
2021-09-13 03:09:05,810 - INFO - compute: budget=2, scheme=(0.30000000000000004,1.0), result=((150, 49), 861) 
2021-09-13 03:09:05,813 - INFO - compute: budget=2, scheme=(0.4,0.30000000000000004), result=((17, 109), 332) 
2021-09-13 03:09:05,813 - INFO - load: budget=2, scheme=(0.4,0.4), result=((17, 109), 332) 
2021-09-13 03:09:05,861 - INFO - compute: budget=2, scheme=(0.4,0.5), result=((205, 49), 505) 
2021-09-13 03:09:05,994 - INFO - compute: budget=2, scheme=(0.4,0.6000000000000001), result=((205, 49), 505) 
2021-09-13 03:09:06,442 - INFO - compute: budget=2, scheme=(0.4,0.7000000000000001), result=((49, 205), 505) 
2021-09-13 03:09:07,361 - INFO - compute: budget=2, scheme=(0.4,0.8), result=((150, 49), 568) 
2021-09-13 03:09:08,533 - INFO - compute: budget=2, scheme=(0.4,0.9), result=((150, 49), 568) 
2021-09-13 03:09:09,755 - INFO - compute: budget=2, scheme=(0.4,1.0), result=((150, 49), 568) 
2021-09-13 03:09:09,756 - INFO - compute: budget=2, scheme=(0.5,0.30000000000000004), result=((17, 109), 125) 
2021-09-13 03:09:09,756 - INFO - load: budget=2, scheme=(0.5,0.4), result=((17, 109), 125) 
2021-09-13 03:09:09,775 - INFO - compute: budget=2, scheme=(0.5,0.5), result=((205, 49), 189) 
2021-09-13 03:09:09,828 - INFO - compute: budget=2, scheme=(0.5,0.6000000000000001), result=((205, 49), 189) 
2021-09-13 03:09:10,008 - INFO - compute: budget=2, scheme=(0.5,0.7000000000000001), result=((49, 205), 189) 
2021-09-13 03:09:10,371 - INFO - compute: budget=2, scheme=(0.5,0.8), result=((150, 49), 201) 
2021-09-13 03:09:10,838 - INFO - compute: budget=2, scheme=(0.5,0.9), result=((150, 49), 201) 
2021-09-13 03:09:11,321 - INFO - compute: budget=2, scheme=(0.5,1.0), result=((150, 49), 201) 
2021-09-13 03:09:11,322 - INFO - compute: budget=2, scheme=(0.6000000000000001,0.30000000000000004), result=((17, 109), 20) 
2021-09-13 03:09:11,322 - INFO - load: budget=2, scheme=(0.6000000000000001,0.4), result=((17, 109), 20) 
2021-09-13 03:09:11,325 - INFO - compute: budget=2, scheme=(0.6000000000000001,0.5), result=((205, 49), 35) 
2021-09-13 03:09:11,332 - INFO - compute: budget=2, scheme=(0.6000000000000001,0.6000000000000001), result=((169, 49), 37) 
2021-09-13 03:09:11,359 - INFO - compute: budget=2, scheme=(0.6000000000000001,0.7000000000000001), result=((169, 49), 37) 
2021-09-13 03:09:11,413 - INFO - compute: budget=2, scheme=(0.6000000000000001,0.8), result=((1, 169), 38) 
2021-09-13 03:09:11,481 - INFO - compute: budget=2, scheme=(0.6000000000000001,0.9), result=((46, 49), 39) 
2021-09-13 03:09:11,552 - INFO - compute: budget=2, scheme=(0.6000000000000001,1.0), result=((46, 49), 39) 
2021-09-13 03:09:11,552 - INFO - load: budget=2, scheme=(0.7000000000000001,0.30000000000000004), result=((17, 109), 20) 
2021-09-13 03:09:11,552 - INFO - load: budget=2, scheme=(0.7000000000000001,0.4), result=((17, 109), 20) 
2021-09-13 03:09:11,552 - INFO - load: budget=2, scheme=(0.7000000000000001,0.5), result=((205, 49), 35) 
2021-09-13 03:09:11,552 - INFO - load: budget=2, scheme=(0.7000000000000001,0.6000000000000001), result=((169, 49), 37) 
2021-09-13 03:09:11,553 - INFO - load: budget=2, scheme=(0.7000000000000001,0.7000000000000001), result=((169, 49), 37) 
2021-09-13 03:09:11,553 - INFO - load: budget=2, scheme=(0.7000000000000001,0.8), result=((1, 169), 38) 
2021-09-13 03:09:11,553 - INFO - load: budget=2, scheme=(0.7000000000000001,0.9), result=((46, 49), 39) 
2021-09-13 03:09:11,553 - INFO - load: budget=2, scheme=(0.7000000000000001,1.0), result=((46, 49), 39) 
