did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(0.0, 0.0)	(53,)	821	390.48921946740137	0.0	0.0
d1	2.0	A	brute	1	(0.0, 0.5)	(1,)	775	391.4112947658402	-387.5	-195.7056473829201
d1	2.0	A	brute	1	(0.0, 0.5)	(141,)	398	192.37786042240594	-199.0	-96.18893021120297
d1	2.0	A	brute	1	(0.0, 0.5)	(13,)	618	314.84135904499544	-309.0	-157.42067952249772
d1	2.0	A	brute	1	(0.0, 0.5)	(143,)	959	452.702865013774	-479.5	-226.351432506887
d1	2.0	A	brute	1	(0.0, 0.5)	(19,)	424	215.73048668503213	-212.0	-107.86524334251607
d1	2.0	A	brute	1	(0.0, 0.5)	(148,)	437	205.83861340679522	-218.5	-102.91930670339761
d1	2.0	A	brute	1	(0.0, 0.5)	(20,)	330	162.35244260789722	-165.0	-81.17622130394861
d1	2.0	A	brute	1	(0.0, 0.5)	(169,)	616	293.7879063360881	-308.0	-146.89395316804405
d1	2.0	A	brute	1	(0.0, 0.5)	(44,)	622	307.700707070707	-311.0	-153.8503535353535
d1	2.0	A	brute	1	(0.0, 0.5)	(45,)	650	326.9537465564738	-325.0	-163.4768732782369
d1	2.0	A	brute	1	(0.0, 0.5)	(174,)	432	203.66647382920104	-216.0	-101.83323691460052
d1	2.0	A	brute	1	(0.0, 0.5)	(173,)	649	319.2188613406795	-324.5	-159.60943067033975
d1	2.0	A	brute	1	(0.0, 0.5)	(47,)	536	262.10252525252525	-268.0	-131.05126262626263
d1	2.0	A	brute	1	(0.0, 0.5)	(50,)	618	300.51211202938487	-309.0	-150.25605601469243
d1	2.0	A	brute	1	(0.0, 0.5)	(53,)	821	390.48921946740137	-410.5	-195.24460973370068
d1	2.0	A	brute	1	(0.0, 0.5)	(183,)	876	413.79738292011024	-438.0	-206.89869146005512
d1	2.0	A	brute	1	(0.0, 0.5)	(65,)	616	301.9291184573002	-308.0	-150.9645592286501
d1	2.0	A	brute	1	(0.0, 0.5)	(67,)	323	163.09834710743803	-161.5	-81.54917355371902
d1	2.0	A	brute	1	(0.0, 0.5)	(71,)	422	198.44180899908167	-211.0	-99.22090449954084
d1	2.0	A	brute	1	(0.0, 0.5)	(72,)	755	354.3579522497704	-377.5	-177.1789761248852
d1	2.0	A	brute	1	(0.0, 0.5)	(73,)	570	287.52247933884297	-285.0	-143.76123966942149
d1	2.0	A	brute	1	(0.0, 0.5)	(77,)	561	277.25934802571163	-280.5	-138.62967401285582
d1	2.0	A	brute	1	(0.0, 0.5)	(206,)	457	231.72675849403123	-228.5	-115.86337924701562
d1	2.0	A	brute	1	(0.0, 0.5)	(80,)	610	298.9626446280992	-305.0	-149.4813223140496
d1	2.0	A	brute	1	(0.0, 0.5)	(86,)	634	323.5630853994491	-317.0	-161.78154269972455
d1	2.0	A	brute	1	(0.0, 0.5)	(92,)	476	237.28033057851238	-238.0	-118.64016528925619
d1	2.0	A	brute	1	(0.0, 0.5)	(99,)	697	357.1945730027548	-348.5	-178.5972865013774
d1	2.0	A	brute	1	(0.0, 0.5)	(111,)	625	317.8767125803489	-312.5	-158.93835629017445
d1	2.0	A	brute	1	(0.0, 0.5)	(125,)	732	347.4939761248851	-366.0	-173.74698806244254
d1	2.0	A	brute	1	(0.0, 1.0)	(1,)	775	391.4112947658402	-775.0	-391.4112947658402
d1	2.0	A	brute	1	(0.0, 1.0)	(131,)	200	103.18980716253442	-200.0	-103.18980716253442
d1	2.0	A	brute	1	(0.0, 1.0)	(135,)	156	81.75622589531679	-156.0	-81.75622589531679
d1	2.0	A	brute	1	(0.0, 1.0)	(10,)	295	148.16879706152432	-295.0	-148.16879706152432
d1	2.0	A	brute	1	(0.0, 1.0)	(141,)	398	192.37786042240594	-398.0	-192.37786042240594
d1	2.0	A	brute	1	(0.0, 1.0)	(13,)	618	314.84135904499544	-618.0	-314.84135904499544
d1	2.0	A	brute	1	(0.0, 1.0)	(14,)	368	190.32941230486685	-368.0	-190.32941230486685
d1	2.0	A	brute	1	(0.0, 1.0)	(143,)	959	452.702865013774	-959.0	-452.702865013774
d1	2.0	A	brute	1	(0.0, 1.0)	(145,)	272	124.85845730027548	-272.0	-124.85845730027548
d1	2.0	A	brute	1	(0.0, 1.0)	(19,)	424	215.73048668503213	-424.0	-215.73048668503213
