did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	3.0	RI	greedy	1	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	greedy	2	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	greedy	3	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	greedy	4	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h1	1	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h1	2	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h1	3	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h1	4	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h2	1	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h2	2	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h2	3	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RI	h2	4	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
