did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	3.0	RW	greedy	1	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RW	greedy	2	(0.25, 0.3)	{53, 143}	1385	509.4395458997691	-69.25	193.41813623006928
d1	3.0	RW	greedy	3	(0.25, 0.2)	{72, 53, 125}	1478	547.0765728914489	73.89999999999998	260.0846854217102
d1	3.0	RW	greedy	4	(0.25, 0.3)	{72, 53, 125, 143}	1881	695.6008477891867	-94.04999999999995	261.569745663244
d1	3.0	RW	h1	1	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RW	h1	2	(0.25, 0.2)	{53, 125}	1162	430.25553449091456	58.099999999999994	204.44889310181708
d1	3.0	RW	h1	3	(0.25, 0.2)	{72, 53, 125}	1478	547.0765728914489	73.89999999999998	260.0846854217102
d1	3.0	RW	h1	4	(0.25, 0.3)	{72, 53, 125, 143}	1881	695.6008477891867	-94.04999999999995	261.569745663244
d1	3.0	RW	h2	1	(0.25, 0.0)	{53}	655	242.12112265909784	163.75	163.75
d1	3.0	RW	h2	2	(0.25, 0.3)	{53, 143}	1385	509.4395458997691	-69.25	193.41813623006928
d1	3.0	RW	h2	3	(0.25, 0.2)	{72, 53, 125}	1478	547.0765728914489	73.89999999999998	260.0846854217102
d1	3.0	RW	h2	4	(0.25, 0.3)	{72, 53, 125, 143}	1881	695.6008477891867	-94.04999999999995	261.569745663244
