did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d4	3.0	I	greedy	1	(0.0, 0.05)	{53}	1308	738.4956615083446	-65.4	-36.92478307541723
d4	3.0	I	greedy	2	(0.0, 0.05)	{53, 125}	1706	986.8790976627994	-85.30000000000001	-49.34395488313997
d4	3.0	I	greedy	3	(0.0, 0.05)	{72, 53, 125}	1786	1040.6327893424248	-89.30000000000001	-52.03163946712124
d4	3.0	I	greedy	4	(0.0, 0.05)	{72, 53, 125, 143}	1799	1049.144704355043	-89.95	-52.45723521775215
d4	3.0	I	h1	1	(0.0, 0.05)	{53}	1308	738.4956615083446	-65.4	-36.92478307541723
d4	3.0	I	h1	2	(0.0, 0.05)	{72, 53}	1596	915.2211031544314	-79.80000000000001	-45.76105515772157
d4	3.0	I	h1	3	(0.0, 0.05)	{72, 50, 53}	1607	923.471165011328	-80.35000000000001	-46.1735582505664
d4	3.0	I	h1	4	(0.0, 0.05)	{72, 50, 53, 125}	1797	1048.8828511993215	-89.85000000000001	-52.44414255996608
d4	3.0	I	h2	1	(0.0, 0.05)	{143}	1079	599.0323055488079	-53.95	-29.951615277440396
d4	3.0	I	h2	2	(0.0, 0.05)	{53, 143}	1660	953.9866194490289	-83.0	-47.69933097245145
d4	3.0	I	h2	3	(0.0, 0.05)	{72, 53, 143}	1746	1011.6270582581574	-87.30000000000001	-50.581352912907874
d4	3.0	I	h2	4	(0.0, 0.05)	{72, 53, 125, 143}	1799	1049.144704355043	-89.95	-52.45723521775215
