did	lamb	obj	method	budget	opt_scheme	opt_setM_star	opt_obj_star
d1	2.0	RI	brute	1	(0.4, 0.0)	(53,)	262.0
d1	2.0	RI	brute	2			
d1	2.0	RI	brute	3			
d1	2.0	RI	brute	4			
d1	2.0	RI	greedy	1	(0.4, 0.0)	{53}	262.0
d1	2.0	RI	greedy	2	(0.4, 0.2)	{53, 143}	277.0
d1	2.0	RI	greedy	3	(0.4, 0.15)	{72, 53, 125}	369.5
d1	2.0	RI	greedy	4	(0.4, 0.2)	{72, 53, 125, 143}	376.2
d1	2.0	RI	h1	1	(0.4, 0.0)	{53}	262.0
d1	2.0	RI	h1	2			
d1	2.0	RI	h1	3			
d1	2.0	RI	h1	4			
d1	2.0	RI	h2	1	(0.4, 0.0)	{53}	262.0
d1	2.0	RI	h2	2	(0.4, 0.2)	{53, 143}	277.0
d1	2.0	RI	h2	3	(0.4, 0.15)	{72, 53, 125}	369.5
d1	2.0	RI	h2	4	(0.4, 0.2)	{72, 53, 125, 143}	376.2
