did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	1.0	W	brute	1						
d1	1.0	W	brute	2						
d1	1.0	W	brute	3						
d1	1.0	W	brute	4						
d1	1.0	W	greedy	1	(0.0, 0.0)	{53}	821	562.28	0.0	0.0
d1	1.0	W	greedy	1	(0.0, 0.05)	{53}	821	562.28	-41.05	-28.11
d1	1.0	W	greedy	1	(0.0, 0.1)	{53}	821	562.28	-82.1	-56.23
d1	1.0	W	greedy	1	(0.0, 0.15)	{143}	959	654.38	-143.85	-98.16
d1	1.0	W	greedy	1	(0.0, 0.2)	{143}	959	654.38	-191.8	-130.88
d1	1.0	W	greedy	1	(0.0, 0.25)	{143}	959	654.38	-239.75	-163.59
d1	1.0	W	greedy	1	(0.0, 0.3)	{143}	959	654.38	-287.7	-196.31
d1	1.0	W	greedy	1	(0.0, 0.35)	{143}	959	654.38	-335.65	-229.03
d1	1.0	W	greedy	1	(0.0, 0.4)	{143}	959	654.38	-383.6	-261.75
d1	1.0	W	greedy	1	(0.0, 0.45)	{143}	959	654.38	-431.55	-294.47
d1	1.0	W	greedy	1	(0.0, 0.5)	{143}	959	654.38	-479.5	-327.19
d1	1.0	W	greedy	1	(0.0, 0.55)	{143}	959	654.38	-527.45	-359.91
d1	1.0	W	greedy	1	(0.0, 0.6)	{143}	959	654.38	-575.4	-392.63
d1	1.0	W	greedy	1	(0.0, 0.65)	{143}	959	654.38	-623.35	-425.34
d1	1.0	W	greedy	1	(0.0, 0.7)	{143}	959	654.38	-671.3	-458.06
d1	1.0	W	greedy	1	(0.0, 0.75)	{143}	959	654.38	-719.25	-490.78
d1	1.0	W	greedy	1	(0.0, 0.8)	{143}	959	654.38	-767.2	-523.5
d1	1.0	W	greedy	1	(0.0, 0.85)	{143}	959	654.38	-815.15	-556.22
d1	1.0	W	greedy	1	(0.0, 0.9)	{143}	959	654.38	-863.1	-588.94
d1	1.0	W	greedy	1	(0.0, 0.95)	{143}	959	654.38	-911.05	-621.66
d1	1.0	W	greedy	1	(0.0, 1.0)	{143}	959	654.38	-959.0	-654.38
d1	1.0	W	greedy	1	(0.05, 0.0)	{53}	821	562.28	41.05	41.05
d1	1.0	W	greedy	1	(0.05, 0.05)	{53}	821	562.28	0.0	12.94
d1	1.0	W	greedy	1	(0.05, 0.1)	{53}	821	562.28	-41.05	-15.18
d1	1.0	W	greedy	1	(0.05, 0.15)	{143}	959	654.38	-95.9	-50.21
d1	1.0	W	greedy	1	(0.05, 0.2)	{143}	959	654.38	-143.85	-82.93
d1	1.0	W	greedy	1	(0.05, 0.25)	{143}	959	654.38	-191.8	-115.64
d1	1.0	W	greedy	1	(0.05, 0.3)	{143}	959	654.38	-239.75	-148.36
d1	1.0	W	greedy	1	(0.05, 0.35)	{143}	959	654.38	-287.7	-181.08
d1	1.0	W	greedy	1	(0.05, 0.4)	{143}	959	654.38	-335.65	-213.8
d1	1.0	W	greedy	1	(0.05, 0.45)	{143}	959	654.38	-383.6	-246.52
d1	1.0	W	greedy	1	(0.05, 0.5)	{143}	959	654.38	-431.55	-279.24
d1	1.0	W	greedy	1	(0.05, 0.55)	{143}	959	654.38	-479.5	-311.96
d1	1.0	W	greedy	1	(0.05, 0.6)	{143}	959	654.38	-527.45	-344.68
d1	1.0	W	greedy	1	(0.05, 0.65)	{143}	959	654.38	-575.4	-377.39
d1	1.0	W	greedy	1	(0.05, 0.7)	{143}	959	654.38	-623.35	-410.11
d1	1.0	W	greedy	1	(0.05, 0.75)	{143}	959	654.38	-671.3	-442.83
d1	1.0	W	greedy	1	(0.05, 0.8)	{143}	959	654.38	-719.25	-475.55
d1	1.0	W	greedy	1	(0.05, 0.85)	{143}	959	654.38	-767.2	-508.27
d1	1.0	W	greedy	1	(0.05, 0.9)	{143}	959	654.38	-815.15	-540.99
d1	1.0	W	greedy	1	(0.05, 0.95)	{143}	959	654.38	-863.1	-573.71
d1	1.0	W	greedy	1	(0.05, 1.0)	{143}	959	654.38	-911.05	-606.43
d1	1.0	W	greedy	1	(0.1, 0.0)	{53}	821	562.28	82.1	82.1
d1	1.0	W	greedy	1	(0.1, 0.05)	{53}	821	562.28	41.05	53.99
d1	1.0	W	greedy	1	(0.1, 0.1)	{53}	821	562.28	0.0	25.87
d1	1.0	W	greedy	1	(0.1, 0.15)	{143}	959	654.38	-47.95	-2.26
d1	1.0	W	greedy	1	(0.1, 0.2)	{143}	959	654.38	-95.9	-34.98
d1	1.0	W	greedy	1	(0.1, 0.25)	{143}	959	654.38	-143.85	-67.69
d1	1.0	W	greedy	1	(0.1, 0.3)	{143}	959	654.38	-191.8	-100.41
d1	1.0	W	greedy	1	(0.1, 0.35)	{143}	959	654.38	-239.75	-133.13
d1	1.0	W	greedy	1	(0.1, 0.4)	{143}	959	654.38	-287.7	-165.85
d1	1.0	W	greedy	1	(0.1, 0.45)	{143}	959	654.38	-335.65	-198.57
d1	1.0	W	greedy	1	(0.1, 0.5)	{143}	959	654.38	-383.6	-231.29
d1	1.0	W	greedy	1	(0.1, 0.55)	{143}	959	654.38	-431.55	-264.01
d1	1.0	W	greedy	1	(0.1, 0.6)	{143}	959	654.38	-479.5	-296.73
d1	1.0	W	greedy	1	(0.1, 0.65)	{143}	959	654.38	-527.45	-329.44
d1	1.0	W	greedy	1	(0.1, 0.7)	{143}	959	654.38	-575.4	-362.16
d1	1.0	W	greedy	1	(0.1, 0.75)	{143}	959	654.38	-623.35	-394.88
d1	1.0	W	greedy	1	(0.1, 0.8)	{143}	959	654.38	-671.3	-427.6
d1	1.0	W	greedy	1	(0.1, 0.85)	{143}	959	654.38	-719.25	-460.32
d1	1.0	W	greedy	1	(0.1, 0.9)	{143}	959	654.38	-767.2	-493.04
d1	1.0	W	greedy	1	(0.1, 0.95)	{143}	959	654.38	-815.15	-525.76
d1	1.0	W	greedy	1	(0.1, 1.0)	{143}	959	654.38	-863.1	-558.48
d1	1.0	W	greedy	1	(0.15, 0.0)	{53}	821	562.28	123.15	123.15
d1	1.0	W	greedy	1	(0.15, 0.05)	{53}	821	562.28	82.1	95.04
d1	1.0	W	greedy	1	(0.15, 0.1)	{53}	821	562.28	41.05	66.92
d1	1.0	W	greedy	1	(0.15, 0.15)	{143}	959	654.38	0.0	45.69
d1	1.0	W	greedy	1	(0.15, 0.2)	{143}	959	654.38	-47.95	12.97
d1	1.0	W	greedy	1	(0.15, 0.25)	{143}	959	654.38	-95.9	-19.74
d1	1.0	W	greedy	1	(0.15, 0.3)	{143}	959	654.38	-143.85	-52.46
d1	1.0	W	greedy	1	(0.15, 0.35)	{143}	959	654.38	-191.8	-85.18
d1	1.0	W	greedy	1	(0.15, 0.4)	{143}	959	654.38	-239.75	-117.9
d1	1.0	W	greedy	1	(0.15, 0.45)	{143}	959	654.38	-287.7	-150.62
d1	1.0	W	greedy	1	(0.15, 0.5)	{143}	959	654.38	-335.65	-183.34
d1	1.0	W	greedy	1	(0.15, 0.55)	{143}	959	654.38	-383.6	-216.06
d1	1.0	W	greedy	1	(0.15, 0.6)	{143}	959	654.38	-431.55	-248.78
d1	1.0	W	greedy	1	(0.15, 0.65)	{143}	959	654.38	-479.5	-281.49
d1	1.0	W	greedy	1	(0.15, 0.7)	{143}	959	654.38	-527.45	-314.21
d1	1.0	W	greedy	1	(0.15, 0.75)	{143}	959	654.38	-575.4	-346.93
d1	1.0	W	greedy	1	(0.15, 0.8)	{143}	959	654.38	-623.35	-379.65
d1	1.0	W	greedy	1	(0.15, 0.85)	{143}	959	654.38	-671.3	-412.37
d1	1.0	W	greedy	1	(0.15, 0.9)	{143}	959	654.38	-719.25	-445.09
d1	1.0	W	greedy	1	(0.15, 0.95)	{143}	959	654.38	-767.2	-477.81
d1	1.0	W	greedy	1	(0.15, 1.0)	{143}	959	654.38	-815.15	-510.53
d1	1.0	W	greedy	1	(0.2, 0.0)	{53}	821	562.28	164.2	164.2
d1	1.0	W	greedy	1	(0.2, 0.05)	{53}	821	562.28	123.15	136.09
d1	1.0	W	greedy	1	(0.2, 0.1)	{53}	821	562.28	82.1	107.97
d1	1.0	W	greedy	1	(0.2, 0.15)	{143}	959	654.38	47.95	93.64
d1	1.0	W	greedy	1	(0.2, 0.2)	{143}	959	654.38	0.0	60.92
d1	1.0	W	greedy	1	(0.2, 0.25)	{143}	959	654.38	-47.95	28.21
d1	1.0	W	greedy	1	(0.2, 0.3)	{143}	959	654.38	-95.9	-4.51
d1	1.0	W	greedy	1	(0.2, 0.35)	{143}	959	654.38	-143.85	-37.23
d1	1.0	W	greedy	1	(0.2, 0.4)	{143}	959	654.38	-191.8	-69.95
d1	1.0	W	greedy	1	(0.2, 0.45)	{143}	959	654.38	-239.75	-102.67
d1	1.0	W	greedy	1	(0.2, 0.5)	{143}	959	654.38	-287.7	-135.39
d1	1.0	W	greedy	1	(0.2, 0.55)	{143}	959	654.38	-335.65	-168.11
d1	1.0	W	greedy	1	(0.2, 0.6)	{143}	959	654.38	-383.6	-200.83
d1	1.0	W	greedy	1	(0.2, 0.65)	{143}	959	654.38	-431.55	-233.54
d1	1.0	W	greedy	1	(0.2, 0.7)	{143}	959	654.38	-479.5	-266.26
d1	1.0	W	greedy	1	(0.2, 0.75)	{143}	959	654.38	-527.45	-298.98
d1	1.0	W	greedy	1	(0.2, 0.8)	{143}	959	654.38	-575.4	-331.7
d1	1.0	W	greedy	1	(0.2, 0.85)	{143}	959	654.38	-623.35	-364.42
d1	1.0	W	greedy	1	(0.2, 0.9)	{143}	959	654.38	-671.3	-397.14
d1	1.0	W	greedy	1	(0.2, 0.95)	{143}	959	654.38	-719.25	-429.86
d1	1.0	W	greedy	1	(0.2, 1.0)	{143}	959	654.38	-767.2	-462.58
