did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	2.0	I	brute	1	(0.0, 0.0)	(53,)	821	390.49	0.0	0.0
d1	2.0	I	brute	1	(0.0, 0.2)	(143,)	959	452.7	-191.8	-90.54
d1	2.0	I	brute	1	(0.0, 0.4)	(143,)	959	452.7	-383.6	-181.08
d1	2.0	I	brute	1	(0.0, 0.6)	(143,)	959	452.7	-575.4	-271.62
d1	2.0	I	brute	1	(0.0, 0.8)	(143,)	959	452.7	-767.2	-362.16
d1	2.0	I	brute	1	(0.0, 1.0)	(143,)	959	452.7	-959.0	-452.7
d1	2.0	I	brute	1	(0.2, 0.0)	(53,)	821	390.49	164.2	164.2
d1	2.0	I	brute	1	(0.2, 0.2)	(143,)	959	452.7	0.0	101.26
d1	2.0	I	brute	1	(0.2, 0.4)	(143,)	959	452.7	-191.8	10.72
d1	2.0	I	brute	1	(0.2, 0.6)	(143,)	959	452.7	-383.6	-79.82
d1	2.0	I	brute	1	(0.2, 0.8)	(143,)	959	452.7	-575.4	-170.36
d1	2.0	I	brute	1	(0.2, 1.0)	(143,)	959	452.7	-767.2	-260.9
d1	2.0	I	brute	1	(0.4, 0.0)	(53,)	655	334.31	262.0	262.0
d1	2.0	I	brute	1	(0.4, 0.2)	(143,)	765	386.76	153.0	228.65
d1	2.0	I	brute	1	(0.4, 0.4)	(143,)	765	386.76	0.0	151.3
d1	2.0	I	brute	1	(0.4, 0.6)	(143,)	765	386.76	-153.0	73.94
d1	2.0	I	brute	1	(0.4, 0.8)	(143,)	765	386.76	-306.0	-3.41
d1	2.0	I	brute	1	(0.4, 1.0)	(143,)	765	386.76	-459.0	-80.76
d1	2.0	I	brute	1	(0.6, 0.0)	(53,)	123	82.6	73.8	73.8
d1	2.0	I	brute	1	(0.6, 0.2)	(143,)	129	89.11	51.6	59.58
d1	2.0	I	brute	1	(0.6, 0.4)	(1,)	202	139.94	40.4	65.22
d1	2.0	I	brute	1	(0.6, 0.6)	(1,)	202	139.94	0.0	37.23
d1	2.0	I	brute	1	(0.6, 0.8)	(1,)	202	139.94	-40.4	9.24
d1	2.0	I	brute	1	(0.6, 1.0)	(1,)	202	139.94	-80.8	-18.74
d1	2.0	I	brute	1	(0.8, 0.0)	(53,)	9	8.14	7.2	7.2
d1	2.0	I	brute	1	(0.8, 0.2)	(143,)	29	23.68	17.4	18.46
d1	2.0	I	brute	1	(0.8, 0.4)	(99,)	39	33.34	15.6	17.86
d1	2.0	I	brute	1	(0.8, 0.6)	(27,)	51	43.31	10.2	14.81
d1	2.0	I	brute	1	(0.8, 0.8)	(27,)	51	43.31	0.0	6.15
d1	2.0	I	brute	1	(0.8, 1.0)	(27,)	51	43.31	-10.2	-2.51
d1	2.0	I	brute	1	(1.0, 0.0)	(53,)	0	0	0.0	0.0
d1	2.0	I	brute	1	(1.0, 0.2)	(72,)	0	0	0.0	0.0
d1	2.0	I	brute	1	(1.0, 0.4)	(1,)	0	0	0.0	0.0
d1	2.0	I	brute	1	(1.0, 0.6)	(1,)	0	0	0.0	0.0
d1	2.0	I	brute	1	(1.0, 0.8)	(1,)	0	0	0.0	0.0
d1	2.0	I	brute	1	(1.0, 1.0)	(1,)	0	0	0.0	0.0
d1	2.0	I	brute	2						
d1	2.0	I	brute	3						
d1	2.0	I	brute	4						
d1	2.0	I	greedy	1	(0.0, 0.0)	{53}	821	390.49	0.0	0.0
d1	2.0	I	greedy	1	(0.0, 0.05)	{53}	821	390.49	-41.05	-19.52
d1	2.0	I	greedy	1	(0.0, 0.1)	{53}	821	390.49	-82.1	-39.05
d1	2.0	I	greedy	1	(0.0, 0.15)	{53}	821	390.49	-123.15	-58.57
d1	2.0	I	greedy	1	(0.0, 0.2)	{143}	959	452.7	-191.8	-90.54
d1	2.0	I	greedy	1	(0.0, 0.25)	{143}	959	452.7	-239.75	-113.18
d1	2.0	I	greedy	1	(0.0, 0.3)	{143}	959	452.7	-287.7	-135.81
d1	2.0	I	greedy	1	(0.0, 0.35)	{143}	959	452.7	-335.65	-158.45
d1	2.0	I	greedy	1	(0.0, 0.4)	{143}	959	452.7	-383.6	-181.08
d1	2.0	I	greedy	1	(0.0, 0.45)	{143}	959	452.7	-431.55	-203.72
d1	2.0	I	greedy	1	(0.0, 0.5)	{143}	959	452.7	-479.5	-226.35
d1	2.0	I	greedy	1	(0.0, 0.55)	{143}	959	452.7	-527.45	-248.99
d1	2.0	I	greedy	1	(0.0, 0.6)	{143}	959	452.7	-575.4	-271.62
d1	2.0	I	greedy	1	(0.0, 0.65)	{143}	959	452.7	-623.35	-294.26
d1	2.0	I	greedy	1	(0.0, 0.7)	{143}	959	452.7	-671.3	-316.89
d1	2.0	I	greedy	1	(0.0, 0.75)	{143}	959	452.7	-719.25	-339.53
d1	2.0	I	greedy	1	(0.0, 0.8)	{143}	959	452.7	-767.2	-362.16
d1	2.0	I	greedy	1	(0.0, 0.85)	{143}	959	452.7	-815.15	-384.8
d1	2.0	I	greedy	1	(0.0, 0.9)	{143}	959	452.7	-863.1	-407.43
d1	2.0	I	greedy	1	(0.0, 0.95)	{143}	959	452.7	-911.05	-430.07
d1	2.0	I	greedy	1	(0.0, 1.0)	{143}	959	452.7	-959.0	-452.7
d1	2.0	I	greedy	1	(0.05, 0.0)	{53}	821	390.49	41.05	41.05
d1	2.0	I	greedy	1	(0.05, 0.05)	{53}	821	390.49	0.0	21.53
d1	2.0	I	greedy	1	(0.05, 0.1)	{53}	821	390.49	-41.05	2.0
d1	2.0	I	greedy	1	(0.05, 0.15)	{53}	821	390.49	-82.1	-17.52
d1	2.0	I	greedy	1	(0.05, 0.2)	{143}	959	452.7	-143.85	-42.59
d1	2.0	I	greedy	1	(0.05, 0.25)	{143}	959	452.7	-191.8	-65.23
d1	2.0	I	greedy	1	(0.05, 0.3)	{143}	959	452.7	-239.75	-87.86
d1	2.0	I	greedy	1	(0.05, 0.35)	{143}	959	452.7	-287.7	-110.5
d1	2.0	I	greedy	1	(0.05, 0.4)	{143}	959	452.7	-335.65	-133.13
d1	2.0	I	greedy	1	(0.05, 0.45)	{143}	959	452.7	-383.6	-155.77
d1	2.0	I	greedy	1	(0.05, 0.5)	{143}	959	452.7	-431.55	-178.4
d1	2.0	I	greedy	1	(0.05, 0.55)	{143}	959	452.7	-479.5	-201.04
d1	2.0	I	greedy	1	(0.05, 0.6)	{143}	959	452.7	-527.45	-223.67
d1	2.0	I	greedy	1	(0.05, 0.65)	{143}	959	452.7	-575.4	-246.31
d1	2.0	I	greedy	1	(0.05, 0.7)	{143}	959	452.7	-623.35	-268.94
d1	2.0	I	greedy	1	(0.05, 0.75)	{143}	959	452.7	-671.3	-291.58
d1	2.0	I	greedy	1	(0.05, 0.8)	{143}	959	452.7	-719.25	-314.21
d1	2.0	I	greedy	1	(0.05, 0.85)	{143}	959	452.7	-767.2	-336.85
d1	2.0	I	greedy	1	(0.05, 0.9)	{143}	959	452.7	-815.15	-359.48
d1	2.0	I	greedy	1	(0.05, 0.95)	{143}	959	452.7	-863.1	-382.12
d1	2.0	I	greedy	1	(0.05, 1.0)	{143}	959	452.7	-911.05	-404.75
d1	2.0	I	greedy	1	(0.1, 0.0)	{53}	821	390.49	82.1	82.1
d1	2.0	I	greedy	1	(0.1, 0.05)	{53}	821	390.49	41.05	62.58
d1	2.0	I	greedy	1	(0.1, 0.1)	{53}	821	390.49	0.0	43.05
d1	2.0	I	greedy	1	(0.1, 0.15)	{53}	821	390.49	-41.05	23.53
d1	2.0	I	greedy	1	(0.1, 0.2)	{143}	959	452.7	-95.9	5.36
d1	2.0	I	greedy	1	(0.1, 0.25)	{143}	959	452.7	-143.85	-17.28
d1	2.0	I	greedy	1	(0.1, 0.3)	{143}	959	452.7	-191.8	-39.91
d1	2.0	I	greedy	1	(0.1, 0.35)	{143}	959	452.7	-239.75	-62.55
d1	2.0	I	greedy	1	(0.1, 0.4)	{143}	959	452.7	-287.7	-85.18
d1	2.0	I	greedy	1	(0.1, 0.45)	{143}	959	452.7	-335.65	-107.82
d1	2.0	I	greedy	1	(0.1, 0.5)	{143}	959	452.7	-383.6	-130.45
d1	2.0	I	greedy	1	(0.1, 0.55)	{143}	959	452.7	-431.55	-153.09
d1	2.0	I	greedy	1	(0.1, 0.6)	{143}	959	452.7	-479.5	-175.72
d1	2.0	I	greedy	1	(0.1, 0.65)	{143}	959	452.7	-527.45	-198.36
d1	2.0	I	greedy	1	(0.1, 0.7)	{143}	959	452.7	-575.4	-220.99
d1	2.0	I	greedy	1	(0.1, 0.75)	{143}	959	452.7	-623.35	-243.63
d1	2.0	I	greedy	1	(0.1, 0.8)	{143}	959	452.7	-671.3	-266.26
d1	2.0	I	greedy	1	(0.1, 0.85)	{143}	959	452.7	-719.25	-288.9
d1	2.0	I	greedy	1	(0.1, 0.9)	{143}	959	452.7	-767.2	-311.53
d1	2.0	I	greedy	1	(0.1, 0.95)	{143}	959	452.7	-815.15	-334.17
d1	2.0	I	greedy	1	(0.1, 1.0)	{143}	959	452.7	-863.1	-356.8
d1	2.0	I	greedy	1	(0.15, 0.0)	{53}	821	390.49	123.15	123.15
d1	2.0	I	greedy	1	(0.15, 0.05)	{53}	821	390.49	82.1	103.63
d1	2.0	I	greedy	1	(0.15, 0.1)	{53}	821	390.49	41.05	84.1
d1	2.0	I	greedy	1	(0.15, 0.15)	{53}	821	390.49	0.0	64.58
d1	2.0	I	greedy	1	(0.15, 0.2)	{143}	959	452.7	-47.95	53.31
d1	2.0	I	greedy	1	(0.15, 0.25)	{143}	959	452.7	-95.9	30.67
d1	2.0	I	greedy	1	(0.15, 0.3)	{143}	959	452.7	-143.85	8.04
d1	2.0	I	greedy	1	(0.15, 0.35)	{143}	959	452.7	-191.8	-14.6
d1	2.0	I	greedy	1	(0.15, 0.4)	{143}	959	452.7	-239.75	-37.23
d1	2.0	I	greedy	1	(0.15, 0.45)	{143}	959	452.7	-287.7	-59.87
d1	2.0	I	greedy	1	(0.15, 0.5)	{143}	959	452.7	-335.65	-82.5
d1	2.0	I	greedy	1	(0.15, 0.55)	{143}	959	452.7	-383.6	-105.14
d1	2.0	I	greedy	1	(0.15, 0.6)	{143}	959	452.7	-431.55	-127.77
d1	2.0	I	greedy	1	(0.15, 0.65)	{143}	959	452.7	-479.5	-150.41
d1	2.0	I	greedy	1	(0.15, 0.7)	{143}	959	452.7	-527.45	-173.04
d1	2.0	I	greedy	1	(0.15, 0.75)	{143}	959	452.7	-575.4	-195.68
d1	2.0	I	greedy	1	(0.15, 0.8)	{143}	959	452.7	-623.35	-218.31
d1	2.0	I	greedy	1	(0.15, 0.85)	{143}	959	452.7	-671.3	-240.95
d1	2.0	I	greedy	1	(0.15, 0.9)	{143}	959	452.7	-719.25	-263.58
d1	2.0	I	greedy	1	(0.15, 0.95)	{143}	959	452.7	-767.2	-286.22
d1	2.0	I	greedy	1	(0.15, 1.0)	{143}	959	452.7	-815.15	-308.85
d1	2.0	I	greedy	1	(0.2, 0.0)	{53}	821	390.49	164.2	164.2
d1	2.0	I	greedy	1	(0.2, 0.05)	{53}	821	390.49	123.15	144.68
d1	2.0	I	greedy	1	(0.2, 0.1)	{53}	821	390.49	82.1	125.15
d1	2.0	I	greedy	1	(0.2, 0.15)	{53}	821	390.49	41.05	105.63
d1	2.0	I	greedy	1	(0.2, 0.2)	{143}	959	452.7	0.0	101.26
d1	2.0	I	greedy	1	(0.2, 0.25)	{143}	959	452.7	-47.95	78.62
d1	2.0	I	greedy	1	(0.2, 0.3)	{143}	959	452.7	-95.9	55.99
d1	2.0	I	greedy	1	(0.2, 0.35)	{143}	959	452.7	-143.85	33.35
