did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	3.0	RI	brute	1	(0.0, 0.0)	(53,)	821	275.01	0.0	0.0
d1	3.0	RI	brute	1	(0.0, 0.2)	(125,)	732	244.77	-146.4	-48.95
d1	3.0	RI	brute	1	(0.0, 0.4)	(50,)	618	214.65	-247.2	-85.86
d1	3.0	RI	brute	1	(0.0, 0.6)	(20,)	330	116.69	-198.0	-70.01
d1	3.0	RI	brute	1	(0.0, 0.8)	(24,)	189	75.86	-151.2	-60.69
d1	3.0	RI	brute	1	(0.0, 1.0)	(196,)	51	20.51	-51.0	-20.51
d1	3.0	RI	brute	1	(0.2, 0.0)	(53,)	744	262.76	148.8	148.8
d1	3.0	RI	brute	1	(0.2, 0.2)	(72,)	680	235.84	0.0	88.83
d1	3.0	RI	brute	1	(0.2, 0.4)	(50,)	560	205.38	-112.0	29.85
d1	3.0	RI	brute	1	(0.2, 0.6)	(20,)	301	112.06	-120.4	-7.03
d1	3.0	RI	brute	1	(0.2, 0.8)	(131,)	183	73.57	-109.8	-22.26
d1	3.0	RI	brute	1	(0.2, 1.0)	(196,)	48	20.03	-38.4	-10.43
d1	3.0	RI	brute	1	(0.4, 0.0)	(53,)	184	95.21	73.6	73.6
d1	3.0	RI	brute	1	(0.4, 0.2)	(53,)	184	95.21	36.8	54.56
d1	3.0	RI	brute	1	(0.4, 0.4)	(72,)	147	76.8	0.0	28.08
d1	3.0	RI	brute	1	(0.4, 0.6)	(71,)	81	41.45	-16.2	7.53
d1	3.0	RI	brute	1	(0.4, 0.8)	(145,)	47	23.68	-18.8	-0.15
d1	3.0	RI	brute	1	(0.4, 1.0)	(196,)	20	11.54	-12.0	-3.54
d1	3.0	RI	brute	1	(0.6, 0.0)	(53,)	32	22.69	19.2	19.2
d1	3.0	RI	brute	1	(0.6, 0.2)	(125,)	32	23.22	12.8	14.56
d1	3.0	RI	brute	1	(0.6, 0.4)	(44,)	44	31.6	8.8	13.76
d1	3.0	RI	brute	1	(0.6, 0.6)	(1,)	73	51.65	0.0	12.81
d1	3.0	RI	brute	1	(0.6, 0.8)	(145,)	4	2.93	-0.8	0.06
d1	3.0	RI	brute	1	(0.6, 1.0)	(145,)	4	2.93	-1.6	-0.53
