did	lamb	obj	method	budget	opt_scheme	opt_setM_star	opt_obj_star
d1	2.0	W	brute	1	(0.0, 0.2)	(143,)	452.7
d1	2.0	W	brute	2			
d1	2.0	W	brute	3			
d1	2.0	W	brute	4			
d1	2.0	W	greedy	1	(0.0, 0.2)	{143}	452.7
d1	2.0	W	greedy	2	(0.0, 0.2)	{53, 143}	822.85
d1	2.0	W	greedy	3	(0.0, 0.2)	{72, 53, 143}	1048.14
d1	2.0	W	greedy	4	(0.0, 0.35)	{143, 1, 53, 183}	1246.94
d1	2.0	W	h1	1	(0.0, 0.0)	{53}	390.49
d1	2.0	W	h1	2			
d1	2.0	W	h1	3			
d1	2.0	W	h1	4			
d1	2.0	W	h2	1	(0.0, 0.2)	{143}	452.7
d1	2.0	W	h2	2	(0.0, 0.2)	{53, 143}	822.85
d1	2.0	W	h2	3	(0.0, 0.2)	{72, 53, 143}	1048.14
d1	2.0	W	h2	4	(0.0, 0.2)	{72, 53, 125, 143}	1121.86
