did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(0.0, 0.0)	(53,)	821	390.48921946740137	0.0	0.0
d1	2.0	A	brute	1	(0.0, 0.05)	(53,)	821	390.48921946740137	-41.050000000000004	-19.52446097337007
d1	2.0	A	brute	1	(0.0, 0.1)	(53,)	821	390.48921946740137	-82.10000000000001	-39.04892194674014
d1	2.0	A	brute	1	(0.0, 0.15)	(72,)	755	354.3579522497704	-113.25	-53.153692837465556
d1	2.0	A	brute	1	(0.0, 0.15)	(125,)	732	347.4939761248851	-109.8	-52.12409641873276
d1	2.0	A	brute	1	(0.0, 0.15)	(53,)	821	390.48921946740137	-123.14999999999999	-58.573382920110205
d1	2.0	A	brute	1	(0.0, 0.2)	(72,)	755	354.3579522497704	-151.0	-70.87159044995408
d1	2.0	A	brute	1	(0.0, 0.2)	(125,)	732	347.4939761248851	-146.4	-69.49879522497702
d1	2.0	A	brute	1	(0.0, 0.2)	(53,)	821	390.48921946740137	-164.20000000000002	-78.09784389348027
d1	2.0	A	brute	1	(0.0, 0.2)	(143,)	959	452.702865013774	-191.8	-90.5405730027548
d1	2.0	A	brute	1	(0.0, 0.25)	(72,)	755	354.3579522497704	-188.75	-88.5894880624426
d1	2.0	A	brute	1	(0.0, 0.25)	(143,)	959	452.702865013774	-239.75	-113.1757162534435
d1	2.0	A	brute	1	(0.0, 0.25)	(50,)	618	300.51211202938487	-154.5	-75.12802800734622
d1	2.0	A	brute	1	(0.0, 0.25)	(53,)	821	390.48921946740137	-205.25	-97.62230486685034
d1	2.0	A	brute	1	(0.0, 0.25)	(125,)	732	347.4939761248851	-183.0	-86.87349403122127
d1	2.0	A	brute	1	(0.0, 0.3)	(72,)	755	354.3579522497704	-226.5	-106.30738567493111
d1	2.0	A	brute	1	(0.0, 0.3)	(44,)	622	307.700707070707	-186.6	-92.31021212121209
d1	2.0	A	brute	1	(0.0, 0.3)	(45,)	650	326.9537465564738	-195.0	-98.08612396694214
d1	2.0	A	brute	1	(0.0, 0.3)	(47,)	536	262.10252525252525	-160.79999999999998	-78.63075757575757
d1	2.0	A	brute	1	(0.0, 0.3)	(143,)	959	452.702865013774	-287.7	-135.8108595041322
d1	2.0	A	brute	1	(0.0, 0.3)	(50,)	618	300.51211202938487	-185.4	-90.15363360881545
d1	2.0	A	brute	1	(0.0, 0.3)	(53,)	821	390.48921946740137	-246.29999999999998	-117.14676584022041
d1	2.0	A	brute	1	(0.0, 0.3)	(183,)	876	413.79738292011024	-262.8	-124.13921487603307
d1	2.0	A	brute	1	(0.0, 0.3)	(125,)	732	347.4939761248851	-219.6	-104.24819283746552
d1	2.0	A	brute	1	(0.0, 0.35)	(1,)	775	391.4112947658402	-271.25	-136.99395316804404
d1	2.0	A	brute	1	(0.0, 0.35)	(72,)	755	354.3579522497704	-264.25	-124.02528328741963
d1	2.0	A	brute	1	(0.0, 0.35)	(169,)	616	293.7879063360881	-215.6	-102.82576721763083
d1	2.0	A	brute	1	(0.0, 0.35)	(44,)	622	307.700707070707	-217.7	-107.69524747474743
d1	2.0	A	brute	1	(0.0, 0.35)	(45,)	650	326.9537465564738	-227.49999999999997	-114.43381129476582
d1	2.0	A	brute	1	(0.0, 0.35)	(141,)	398	192.37786042240594	-139.29999999999998	-67.33225114784207
d1	2.0	A	brute	1	(0.0, 0.35)	(47,)	536	262.10252525252525	-187.6	-91.73588383838383
d1	2.0	A	brute	1	(0.0, 0.35)	(13,)	618	314.84135904499544	-216.29999999999998	-110.1944756657484
d1	2.0	A	brute	1	(0.0, 0.35)	(143,)	959	452.702865013774	-335.65	-158.44600275482088
d1	2.0	A	brute	1	(0.0, 0.35)	(50,)	618	300.51211202938487	-216.29999999999998	-105.17923921028469
d1	2.0	A	brute	1	(0.0, 0.35)	(148,)	437	205.83861340679522	-152.95	-72.04351469237832
d1	2.0	A	brute	1	(0.0, 0.35)	(53,)	821	390.48921946740137	-287.34999999999997	-136.67122681359047
d1	2.0	A	brute	1	(0.0, 0.35)	(183,)	876	413.79738292011024	-306.59999999999997	-144.8290840220386
d1	2.0	A	brute	1	(0.0, 0.35)	(125,)	732	347.4939761248851	-256.2	-121.62289164370976
d1	2.0	A	brute	1	(0.0, 0.4)	(1,)	775	391.4112947658402	-310.0	-156.56451790633608
d1	2.0	A	brute	1	(0.0, 0.4)	(65,)	616	301.9291184573002	-246.4	-120.7716473829201
d1	2.0	A	brute	1	(0.0, 0.4)	(99,)	697	357.1945730027548	-278.8	-142.87782920110192
d1	2.0	A	brute	1	(0.0, 0.4)	(71,)	422	198.44180899908167	-168.8	-79.37672359963267
d1	2.0	A	brute	1	(0.0, 0.4)	(72,)	755	354.3579522497704	-302.0	-141.74318089990817
d1	2.0	A	brute	1	(0.0, 0.4)	(169,)	616	293.7879063360881	-246.4	-117.51516253443525
d1	2.0	A	brute	1	(0.0, 0.4)	(44,)	622	307.700707070707	-248.8	-123.0802828282828
d1	2.0	A	brute	1	(0.0, 0.4)	(45,)	650	326.9537465564738	-260.0	-130.7814986225895
d1	2.0	A	brute	1	(0.0, 0.4)	(141,)	398	192.37786042240594	-159.20000000000002	-76.95114416896239
d1	2.0	A	brute	1	(0.0, 0.4)	(47,)	536	262.10252525252525	-214.4	-104.84101010101011
d1	2.0	A	brute	1	(0.0, 0.4)	(80,)	610	298.9626446280992	-244.0	-119.5850578512397
d1	2.0	A	brute	1	(0.0, 0.4)	(13,)	618	314.84135904499544	-247.20000000000002	-125.93654361799818
d1	2.0	A	brute	1	(0.0, 0.4)	(50,)	618	300.51211202938487	-247.20000000000002	-120.20484481175396
d1	2.0	A	brute	1	(0.0, 0.4)	(19,)	424	215.73048668503213	-169.60000000000002	-86.29219467401286
d1	2.0	A	brute	1	(0.0, 0.4)	(148,)	437	205.83861340679522	-174.8	-82.33544536271809
d1	2.0	A	brute	1	(0.0, 0.4)	(53,)	821	390.48921946740137	-328.40000000000003	-156.19568778696055
d1	2.0	A	brute	1	(0.0, 0.4)	(20,)	330	162.35244260789722	-132.0	-64.9409770431589
d1	2.0	A	brute	1	(0.0, 0.4)	(183,)	876	413.79738292011024	-350.40000000000003	-165.5189531680441
d1	2.0	A	brute	1	(0.0, 0.4)	(143,)	959	452.702865013774	-383.6	-181.0811460055096
d1	2.0	A	brute	1	(0.0, 0.4)	(125,)	732	347.4939761248851	-292.8	-138.99759044995403
d1	2.0	A	brute	1	(0.0, 0.45)	(1,)	775	391.4112947658402	-348.75	-176.13508264462808
d1	2.0	A	brute	1	(0.0, 0.45)	(141,)	398	192.37786042240594	-179.1	-86.57003719008267
d1	2.0	A	brute	1	(0.0, 0.45)	(13,)	618	314.84135904499544	-278.1	-141.67861157024797
d1	2.0	A	brute	1	(0.0, 0.45)	(143,)	959	452.702865013774	-431.55	-203.7162892561983
d1	2.0	A	brute	1	(0.0, 0.45)	(19,)	424	215.73048668503213	-190.8	-97.07871900826446
d1	2.0	A	brute	1	(0.0, 0.45)	(148,)	437	205.83861340679522	-196.65	-92.62737603305786
d1	2.0	A	brute	1	(0.0, 0.45)	(20,)	330	162.35244260789722	-148.5	-73.05859917355374
d1	2.0	A	brute	1	(0.0, 0.45)	(169,)	616	293.7879063360881	-277.2	-132.20455785123966
d1	2.0	A	brute	1	(0.0, 0.45)	(44,)	622	307.700707070707	-279.90000000000003	-138.46531818181813
d1	2.0	A	brute	1	(0.0, 0.45)	(45,)	650	326.9537465564738	-292.5	-147.12918595041322
d1	2.0	A	brute	1	(0.0, 0.45)	(174,)	432	203.66647382920104	-194.4	-91.64991322314047
d1	2.0	A	brute	1	(0.0, 0.45)	(173,)	649	319.2188613406795	-292.05	-143.64848760330577
d1	2.0	A	brute	1	(0.0, 0.45)	(47,)	536	262.10252525252525	-241.20000000000002	-117.94613636363637
d1	2.0	A	brute	1	(0.0, 0.45)	(50,)	618	300.51211202938487	-278.1	-135.2304504132232
d1	2.0	A	brute	1	(0.0, 0.45)	(53,)	821	390.48921946740137	-369.45	-175.72014876033063
d1	2.0	A	brute	1	(0.0, 0.45)	(183,)	876	413.79738292011024	-394.2	-186.2088223140496
d1	2.0	A	brute	1	(0.0, 0.45)	(65,)	616	301.9291184573002	-277.2	-135.8681033057851
d1	2.0	A	brute	1	(0.0, 0.45)	(71,)	422	198.44180899908167	-189.9	-89.29881404958675
d1	2.0	A	brute	1	(0.0, 0.45)	(72,)	755	354.3579522497704	-339.75	-159.46107851239668
d1	2.0	A	brute	1	(0.0, 0.45)	(73,)	570	287.52247933884297	-256.5	-129.38511570247934
d1	2.0	A	brute	1	(0.0, 0.45)	(80,)	610	298.9626446280992	-274.5	-134.53319008264464
d1	2.0	A	brute	1	(0.0, 0.45)	(99,)	697	357.1945730027548	-313.65000000000003	-160.73755785123967
d1	2.0	A	brute	1	(0.0, 0.45)	(111,)	625	317.8767125803489	-281.25	-143.044520661157
d1	2.0	A	brute	1	(0.0, 0.45)	(125,)	732	347.4939761248851	-329.40000000000003	-156.3722892561983
d1	2.0	A	brute	1	(0.0, 0.5)	(1,)	775	391.4112947658402	-387.5	-195.7056473829201
d1	2.0	A	brute	1	(0.0, 0.5)	(141,)	398	192.37786042240594	-199.0	-96.18893021120297
d1	2.0	A	brute	1	(0.0, 0.5)	(13,)	618	314.84135904499544	-309.0	-157.42067952249772
d1	2.0	A	brute	1	(0.0, 0.5)	(143,)	959	452.702865013774	-479.5	-226.351432506887
d1	2.0	A	brute	1	(0.0, 0.5)	(19,)	424	215.73048668503213	-212.0	-107.86524334251607
d1	2.0	A	brute	1	(0.0, 0.5)	(148,)	437	205.83861340679522	-218.5	-102.91930670339761
d1	2.0	A	brute	1	(0.0, 0.5)	(20,)	330	162.35244260789722	-165.0	-81.17622130394861
d1	2.0	A	brute	1	(0.0, 0.5)	(169,)	616	293.7879063360881	-308.0	-146.89395316804405
d1	2.0	A	brute	1	(0.0, 0.5)	(44,)	622	307.700707070707	-311.0	-153.8503535353535
d1	2.0	A	brute	1	(0.0, 0.5)	(45,)	650	326.9537465564738	-325.0	-163.4768732782369
d1	2.0	A	brute	1	(0.0, 0.5)	(174,)	432	203.66647382920104	-216.0	-101.83323691460052
d1	2.0	A	brute	1	(0.0, 0.5)	(173,)	649	319.2188613406795	-324.5	-159.60943067033975
d1	2.0	A	brute	1	(0.0, 0.5)	(47,)	536	262.10252525252525	-268.0	-131.05126262626263
d1	2.0	A	brute	1	(0.0, 0.5)	(50,)	618	300.51211202938487	-309.0	-150.25605601469243
d1	2.0	A	brute	1	(0.0, 0.5)	(53,)	821	390.48921946740137	-410.5	-195.24460973370068
d1	2.0	A	brute	1	(0.0, 0.5)	(183,)	876	413.79738292011024	-438.0	-206.89869146005512
d1	2.0	A	brute	1	(0.0, 0.5)	(65,)	616	301.9291184573002	-308.0	-150.9645592286501
d1	2.0	A	brute	1	(0.0, 0.5)	(67,)	323	163.09834710743803	-161.5	-81.54917355371902
d1	2.0	A	brute	1	(0.0, 0.5)	(71,)	422	198.44180899908167	-211.0	-99.22090449954084
d1	2.0	A	brute	1	(0.0, 0.5)	(72,)	755	354.3579522497704	-377.5	-177.1789761248852
d1	2.0	A	brute	1	(0.0, 0.5)	(73,)	570	287.52247933884297	-285.0	-143.76123966942149
d1	2.0	A	brute	1	(0.0, 0.5)	(77,)	561	277.25934802571163	-280.5	-138.62967401285582
d1	2.0	A	brute	1	(0.0, 0.5)	(206,)	457	231.72675849403123	-228.5	-115.86337924701562
d1	2.0	A	brute	1	(0.0, 0.5)	(80,)	610	298.9626446280992	-305.0	-149.4813223140496
d1	2.0	A	brute	1	(0.0, 0.5)	(86,)	634	323.5630853994491	-317.0	-161.78154269972455
d1	2.0	A	brute	1	(0.0, 0.5)	(92,)	476	237.28033057851238	-238.0	-118.64016528925619
d1	2.0	A	brute	1	(0.0, 0.5)	(99,)	697	357.1945730027548	-348.5	-178.5972865013774
d1	2.0	A	brute	1	(0.0, 0.5)	(111,)	625	317.8767125803489	-312.5	-158.93835629017445
d1	2.0	A	brute	1	(0.0, 0.5)	(125,)	732	347.4939761248851	-366.0	-173.74698806244254
d1	2.0	A	brute	1	(0.0, 0.55)	(1,)	775	391.4112947658402	-426.25000000000006	-215.27621212121213
d1	2.0	A	brute	1	(0.0, 0.55)	(10,)	295	148.16879706152432	-162.25	-81.49283838383838
d1	2.0	A	brute	1	(0.0, 0.55)	(141,)	398	192.37786042240594	-218.9	-105.80782323232327
d1	2.0	A	brute	1	(0.0, 0.55)	(13,)	618	314.84135904499544	-339.90000000000003	-173.1627474747475
d1	2.0	A	brute	1	(0.0, 0.55)	(14,)	368	190.32941230486685	-202.4	-104.68117676767677
d1	2.0	A	brute	1	(0.0, 0.55)	(143,)	959	452.702865013774	-527.45	-248.9865757575757
d1	2.0	A	brute	1	(0.0, 0.55)	(145,)	272	124.85845730027548	-149.60000000000002	-68.67215151515151
d1	2.0	A	brute	1	(0.0, 0.55)	(19,)	424	215.73048668503213	-233.20000000000002	-118.65176767676768
d1	2.0	A	brute	1	(0.0, 0.55)	(148,)	437	205.83861340679522	-240.35000000000002	-113.21123737373738
d1	2.0	A	brute	1	(0.0, 0.55)	(20,)	330	162.35244260789722	-181.50000000000003	-89.29384343434347
d1	2.0	A	brute	1	(0.0, 0.55)	(27,)	610	328.2696877869605	-335.5	-180.5483282828283
d1	2.0	A	brute	1	(0.0, 0.55)	(169,)	616	293.7879063360881	-338.8	-161.58334848484847
d1	2.0	A	brute	1	(0.0, 0.55)	(44,)	622	307.700707070707	-342.1	-169.23538888888885
d1	2.0	A	brute	1	(0.0, 0.55)	(45,)	650	326.9537465564738	-357.50000000000006	-179.8245606060606
d1	2.0	A	brute	1	(0.0, 0.55)	(174,)	432	203.66647382920104	-237.60000000000002	-112.01656060606058
d1	2.0	A	brute	1	(0.0, 0.55)	(173,)	649	319.2188613406795	-356.95000000000005	-175.57037373737373
d1	2.0	A	brute	1	(0.0, 0.55)	(47,)	536	262.10252525252525	-294.8	-144.1563888888889
d1	2.0	A	brute	1	(0.0, 0.55)	(50,)	618	300.51211202938487	-339.90000000000003	-165.2816616161617
d1	2.0	A	brute	1	(0.0, 0.55)	(53,)	821	390.48921946740137	-451.55	-214.76907070707077
d1	2.0	A	brute	1	(0.0, 0.55)	(183,)	876	413.79738292011024	-481.8	-227.58856060606064
d1	2.0	A	brute	1	(0.0, 0.55)	(65,)	616	301.9291184573002	-338.8	-166.06101515151514
d1	2.0	A	brute	1	(0.0, 0.55)	(67,)	323	163.09834710743803	-177.65	-89.70409090909092
d1	2.0	A	brute	1	(0.0, 0.55)	(71,)	422	198.44180899908167	-232.10000000000002	-109.14299494949493
d1	2.0	A	brute	1	(0.0, 0.55)	(72,)	755	354.3579522497704	-415.25000000000006	-194.89687373737374
d1	2.0	A	brute	1	(0.0, 0.55)	(73,)	570	287.52247933884297	-313.5	-158.13736363636366
d1	2.0	A	brute	1	(0.0, 0.55)	(76,)	378	189.4410101010101	-207.9	-104.19255555555557
d1	2.0	A	brute	1	(0.0, 0.55)	(77,)	561	277.25934802571163	-308.55	-152.49264141414142
d1	2.0	A	brute	1	(0.0, 0.55)	(206,)	457	231.72675849403123	-251.35000000000002	-127.44971717171718
d1	2.0	A	brute	1	(0.0, 0.55)	(80,)	610	298.9626446280992	-335.5	-164.42945454545458
d1	2.0	A	brute	1	(0.0, 0.55)	(86,)	634	323.5630853994491	-348.70000000000005	-177.95969696969703
d1	2.0	A	brute	1	(0.0, 0.55)	(92,)	476	237.28033057851238	-261.8	-130.50418181818182
d1	2.0	A	brute	1	(0.0, 0.55)	(99,)	697	357.1945730027548	-383.35	-196.45701515151515
d1	2.0	A	brute	1	(0.0, 0.55)	(111,)	625	317.8767125803489	-343.75	-174.8321919191919
d1	2.0	A	brute	1	(0.0, 0.55)	(125,)	732	347.4939761248851	-402.6	-191.12168686868682
d1	2.0	A	brute	1	(0.0, 0.6)	(1,)	775	391.4112947658402	-465.0	-234.8467768595041
d1	2.0	A	brute	1	(0.0, 0.6)	(10,)	295	148.16879706152432	-177.0	-88.90127823691459
d1	2.0	A	brute	1	(0.0, 0.6)	(141,)	398	192.37786042240594	-238.79999999999998	-115.42671625344356
