did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	RI	brute	1	(0.0, 0.0)	(53,)	821	390.49	0.0	0.0
d1	2.0	RI	brute	1	(0.0, 0.05)	(53,)	821	390.49	-41.05	-19.52
d1	2.0	RI	brute	1	(0.0, 0.1)	(53,)	821	390.49	-82.1	-39.05
d1	2.0	RI	brute	1	(0.0, 0.15)	(125,)	732	347.49	-109.8	-52.12
d1	2.0	RI	brute	1	(0.0, 0.2)	(125,)	732	347.49	-146.4	-69.5
d1	2.0	RI	brute	1	(0.0, 0.25)	(50,)	618	300.51	-154.5	-75.13
d1	2.0	RI	brute	1	(0.0, 0.3)	(47,)	536	262.1	-160.8	-78.63
d1	2.0	RI	brute	1	(0.0, 0.35)	(141,)	398	192.38	-139.3	-67.33
d1	2.0	RI	brute	1	(0.0, 0.4)	(20,)	330	162.35	-132.0	-64.94
d1	2.0	RI	brute	1	(0.0, 0.45)	(20,)	330	162.35	-148.5	-73.06
d1	2.0	RI	brute	1	(0.0, 0.5)	(67,)	323	163.1	-161.5	-81.55
d1	2.0	RI	brute	1	(0.0, 0.55)	(145,)	272	124.86	-149.6	-68.67
d1	2.0	RI	brute	1	(0.0, 0.6)	(215,)	243	116.11	-145.8	-69.66
d1	2.0	RI	brute	1	(0.0, 0.65)	(131,)	200	103.19	-130.0	-67.07
d1	2.0	RI	brute	1	(0.0, 0.7)	(98,)	114	57.71	-79.8	-40.4
d1	2.0	RI	brute	1	(0.0, 0.75)	(196,)	51	27.27	-38.25	-20.45
d1	2.0	RI	brute	1	(0.0, 0.8)	(196,)	51	27.27	-40.8	-21.82
d1	2.0	RI	brute	1	(0.0, 0.85)	(196,)	51	27.27	-43.35	-23.18
d1	2.0	RI	brute	1	(0.0, 0.9)	(196,)	51	27.27	-45.9	-24.55
d1	2.0	RI	brute	1	(0.0, 0.95)	(196,)	51	27.27	-48.45	-25.91
d1	2.0	RI	brute	1	(0.0, 1.0)	(196,)	51	27.27	-51.0	-27.27
d1	2.0	RI	brute	1	(0.05, 0.0)	(53,)	821	390.49	41.05	41.05
d1	2.0	RI	brute	1	(0.05, 0.05)	(53,)	821	390.49	0.0	21.53
d1	2.0	RI	brute	1	(0.05, 0.1)	(53,)	821	390.49	-41.05	2.0
d1	2.0	RI	brute	1	(0.05, 0.15)	(125,)	732	347.49	-73.2	-15.52
d1	2.0	RI	brute	1	(0.05, 0.2)	(125,)	732	347.49	-109.8	-32.9
d1	2.0	RI	brute	1	(0.05, 0.25)	(50,)	618	300.51	-123.6	-44.23
d1	2.0	RI	brute	1	(0.05, 0.3)	(47,)	536	262.1	-134.0	-51.83
d1	2.0	RI	brute	1	(0.05, 0.35)	(141,)	398	192.38	-119.4	-47.43
d1	2.0	RI	brute	1	(0.05, 0.4)	(20,)	330	162.35	-115.5	-48.44
d1	2.0	RI	brute	1	(0.05, 0.45)	(20,)	330	162.35	-132.0	-56.56
d1	2.0	RI	brute	1	(0.05, 0.5)	(67,)	323	163.1	-145.35	-65.4
d1	2.0	RI	brute	1	(0.05, 0.55)	(145,)	272	124.86	-136.0	-55.07
d1	2.0	RI	brute	1	(0.05, 0.6)	(215,)	243	116.11	-133.65	-57.51
d1	2.0	RI	brute	1	(0.05, 0.65)	(131,)	200	103.19	-120.0	-57.07
d1	2.0	RI	brute	1	(0.05, 0.7)	(98,)	114	57.71	-74.1	-34.7
d1	2.0	RI	brute	1	(0.05, 0.75)	(196,)	51	27.27	-35.7	-17.9
d1	2.0	RI	brute	1	(0.05, 0.8)	(196,)	51	27.27	-38.25	-19.27
d1	2.0	RI	brute	1	(0.05, 0.85)	(196,)	51	27.27	-40.8	-20.63
d1	2.0	RI	brute	1	(0.05, 0.9)	(196,)	51	27.27	-43.35	-22.0
d1	2.0	RI	brute	1	(0.05, 0.95)	(196,)	51	27.27	-45.9	-23.36
d1	2.0	RI	brute	1	(0.05, 1.0)	(196,)	51	27.27	-48.45	-24.72
d1	2.0	RI	brute	1	(0.1, 0.0)	(53,)	821	390.49	82.1	82.1
d1	2.0	RI	brute	1	(0.1, 0.05)	(53,)	821	390.49	41.05	62.58
d1	2.0	RI	brute	1	(0.1, 0.1)	(53,)	821	390.49	0.0	43.05
d1	2.0	RI	brute	1	(0.1, 0.15)	(125,)	732	347.49	-36.6	21.08
d1	2.0	RI	brute	1	(0.1, 0.2)	(125,)	732	347.49	-73.2	3.7
d1	2.0	RI	brute	1	(0.1, 0.25)	(50,)	618	300.51	-92.7	-13.33
d1	2.0	RI	brute	1	(0.1, 0.3)	(47,)	536	262.1	-107.2	-25.03
d1	2.0	RI	brute	1	(0.1, 0.35)	(141,)	398	192.38	-99.5	-27.53
d1	2.0	RI	brute	1	(0.1, 0.4)	(20,)	330	162.35	-99.0	-31.94
d1	2.0	RI	brute	1	(0.1, 0.45)	(20,)	330	162.35	-115.5	-40.06
d1	2.0	RI	brute	1	(0.1, 0.5)	(67,)	323	163.1	-129.2	-49.25
d1	2.0	RI	brute	1	(0.1, 0.55)	(145,)	272	124.86	-122.4	-41.47
d1	2.0	RI	brute	1	(0.1, 0.6)	(215,)	243	116.11	-121.5	-45.36
d1	2.0	RI	brute	1	(0.1, 0.65)	(131,)	200	103.19	-110.0	-47.07
d1	2.0	RI	brute	1	(0.1, 0.7)	(98,)	114	57.71	-68.4	-29.0
d1	2.0	RI	brute	1	(0.1, 0.75)	(196,)	51	27.27	-33.15	-15.35
d1	2.0	RI	brute	1	(0.1, 0.8)	(196,)	51	27.27	-35.7	-16.72
